"Name: Little Bass"
"ID: 04011000"
"Ice Out Date","Source"
"1981-04-01","MNPCA"
"1982-04-25","MNPCA"
"1983-04-20","MNPCA"
"1984-04-18","MNPCA"
"1985-04-19","MNPCA"
"1986-04-11","MNPCA"
"1987-04-08","MNPCA"
"1988-04-16","MNPCA"
"1989-04-26","MNPCA"
"1990-04-21","MNPCA"
"1991-04-08","MNPCA"
"1992-04-09","MNPCA"
"1993-04-17","MNPCA"
"1994-04-15","MNPCA"
"1995-04-15","MNPCA"
"1996-05-05","MNPCA"
"1997-04-24","MNPCA"
"1998-04-14","MNPCA"
"1999-04-13","MNPCA"
"2000-04-02","MNPCA"
"2001-04-28","MNPCA"
"2002-04-25","MNPCA"
"2003-04-15","MNPCA"
"2004-04-15","MNPCA"
"2005-04-10","MNPCA"
"2006-04-12","MNPCA"
"2008-05-02","MNPCA"
"2015-04-12","MNPCA"
"2016-04-02","MNPCA"
"2017-04-05","MNPCA"
"2018-04-29","MNPCA"
"2019-04-24","MNPCA"
"2021-04-02","MNDNR-SCO"
