"Name: Bemidji"
"ID: 04013000"
"Ice Out Date","Source"
"1932-04-18","MNDNR-SCO"
"1933-05-02","MNDNR-SCO"
"1934-05-02","MNDNR-SCO"
"1935-05-05","MNDNR-SCO"
"1936-05-08","MNDNR-SCO"
"1938-04-18","MNDNR-SCO"
"1939-05-01","MNDNR-SCO"
"1940-05-07","MNDNR-SCO"
"1941-04-20","MNDNR-SCO"
"1942-04-23","MNDNR-SCO"
"1943-04-27","MNDNR-SCO"
"1944-05-04","MNDNR-SCO"
"1945-04-11","MNDNR-SCO"
"1946-04-16","MNDNR-SCO"
"1947-05-05","MNDNR-SCO"
"1948-04-16","MNDNR-SCO"
"1949-04-26","MNDNR-SCO"
"1950-05-22","MNDNR-SCO"
"1951-05-04","MNDNR-SCO"
"1952-04-29","MNDNR-SCO"
"1953-05-01","MNDNR-SCO"
"1955-04-20","MNDNR-SCO"
"1957-04-29","MNDNR-SCO"
"1958-04-16","MNDNR-SCO"
"1959-04-25","MNDNR-SCO"
"1960-04-24","MNDNR-SCO"
"1961-04-29","MNDNR-SCO"
"1962-05-02","MNDNR-SCO"
"1963-04-17","MNDNR-SCO"
"1964-04-29","MNDNR-SCO"
"1966-05-09","MNDNR-SCO"
"1967-04-20","MNDNR-SCO"
"1968-04-21","MNDNR-SCO"
"1969-04-27","MNDNR-SCO"
"1971-04-23","MNDNR-SCO"
"1972-05-03","MNDNR-SCO"
"1973-04-11","MNDNR-SCO"
"1974-04-30","MNDNR-SCO"
"1975-05-08","MNDNR-SCO"
"1976-04-16","MNDNR-SCO"
"1977-04-27","MNDNR-SCO"
"1978-05-03","MNDNR-SCO"
"1979-05-08","MNDNR-SCO"
"1980-04-26","MNDNR-SCO"
"1981-04-12","MNDNR-SCO"
"1982-05-01","MNDNR-SCO"
"1983-04-25","MNDNR-SCO"
"1983-04-25","MNDNR-LAKESDB"
"1984-04-24","MNDNR-SCO"
"1985-04-28","MNDNR-SCO"
"1986-04-19","MNPCA"
"1986-04-19","MNDNR-SCO"
"1987-04-16","MNDNR-SCO"
"1988-04-24","MNPCA"
"1988-04-25","MNDNR-SCO"
"1989-05-01","MNPCA"
"1989-05-02","MNDNR-SCO"
"1990-04-26","MNPCA"
"1990-04-26","MNDNR-LAKESDB"
"1990-04-26","MNDNR-SCO"
"1991-04-13","MNDNR-LAKESDB"
"1991-04-22","MNPCA"
"1991-04-22","MNDNR-SCO"
"1992-04-28","MNDNR-SCO"
"1992-04-28","MNDNR-LAKESDB"
"1992-04-28","MNPCA"
"1993-04-24","MNDNR-SCO"
"1993-04-24","MNDNR-LAKESDB"
"1993-04-24","MNPCA"
"1994-04-22","MNDNR-LAKESDB"
"1994-04-22","MNDNR-SCO"
"1994-04-23","MNPCA"
"1995-04-30","MNDNR-LAKESDB"
"1995-04-30","MNPCA"
"1995-04-30","MNDNR-SCO"
"1996-05-09","MNPCA"
"1996-05-09","MNDNR-SCO"
"1996-05-10","MNDNR-LAKESDB"
"1997-04-28","MNPCA"
"1997-04-28","MNDNR-SCO"
"1998-04-12","MNDNR-SCO"
"1998-04-13","MNDNR-LAKESDB"
"1998-04-13","MNPCA"
"1999-04-25","MNPCA"
"1999-04-26","MNDNR-SCO"
"2000-04-20","MNPCA"
"2000-04-20","MNDNR-SCO"
"2001-04-30","MNDNR-SCO"
"2001-04-30","MNPCA"
"2002-04-24","MNDNR-SCO"
"2002-04-28","MNPCA"
"2003-04-21","MNPCA"
"2003-04-24","MNPCA"
"2003-04-24","MNDNR-SCO"
"2004-04-24","MNDNR-SCO"
"2005-04-18","MNDNR-SCO"
"2005-04-19","MNPCA"
"2006-04-16","MNDNR-SCO"
"2007-04-25","MNPCA"
"2007-04-27","MNPCA"
"2007-04-27","MNDNR-SCO"
"2008-05-12","MNDNR-SCO"
"2008-05-13","MNPCA"
"2009-04-27","MNDNR-SCO"
"2010-04-06","MNDNR-SCO"
"2011-04-28","MNDNR-SCO"
"2011-04-28","MNDNR-SCO"
"2012-04-02","MNDNR-SCO"
"2013-05-17","MNDNR-SCO"
"2014-05-11","MNDNR-SCO"
"2015-04-18","MNDNR-SCO"
"2016-04-19","MNDNR-SCO"
"2017-04-09","MNDNR-SCO"
"2018-05-08","MNDNR-SCO"
"2019-04-28","MNDNR-SCO"
"2019-04-30","MNPCA"
"2020-04-29","MNDNR-SCO"
"2021-04-06","MNDNR-SCO"
"2022-05-08","MNDNR-SCO"
