"Name: Beltrami"
"ID: 04013500"
"Ice Out Date","Source"
"1998-04-12","MNPCA"
"1999-04-14","MNPCA"
"2000-04-06","MNPCA"
"2001-04-25","MNPCA"
"2002-04-19","MNPCA"
"2003-04-20","MNPCA"
"2003-04-20","MNPCA"
"2003-04-22","MNPCA"
"2004-04-19","MNPCA"
"2005-04-11","MNPCA"
"2005-04-12","MNPCA"
"2008-05-06","MNPCA"
"2010-04-01","MNDNR-LLMMP"
"2011-04-26","MNDNR-LLMMP"
"2012-03-23","MNDNR-SCO"
"2012-03-24","MNDNR-LLMMP"
"2013-05-12","MNDNR-SCO"
"2013-05-12","MNDNR-SCO"
"2013-05-13","MNDNR-LLMMP"
"2014-05-13","MNDNR-LLMMP"
"2015-04-15","MNPCA"
"2015-04-15","MNDNR-LLMMP"
"2016-04-11","MNDNR-LLMMP"
"2017-04-07","MNDNR-LLMMP"
"2019-04-25","MNDNR-LLMMP"
"2020-04-27","MNDNR-LLMMP"
"2022-05-07","MNDNR-LLMMP"
