"Name: Turtle"
"ID: 04015900"
"Ice Out Date","Source"
"1965-05-02","MNPCA"
"1966-05-05","MNPCA"
"1967-04-16","MNPCA"
"1968-04-18","MNPCA"
"1969-04-23","MNPCA"
"1970-05-03","MNPCA"
"1971-04-23","MNPCA"
"1972-04-29","MNPCA"
"1973-04-13","MNPCA"
"1974-04-28","MNPCA"
"1975-05-06","MNPCA"
"1976-04-14","MNPCA"
"1977-04-23","MNPCA"
"1978-05-03","MNPCA"
"1979-05-06","MNPCA"
"1980-04-22","MNPCA"
"1981-04-06","MNPCA"
"1982-04-28","MNPCA"
"1983-04-21","MNPCA"
"1984-04-21","MNPCA"
"1985-04-22","MNPCA"
"1986-04-17","MNPCA"
"1987-04-13","MNPCA"
"1988-04-18","MNPCA"
"1989-05-02","MNPCA"
"1990-04-23","MNPCA"
"1991-04-17","MNPCA"
"1992-04-20","MNPCA"
"1993-04-21","MNPCA"
"1994-04-19","MNPCA"
"1995-04-23","MNPCA"
"1996-05-06","MNDNR-SCO"
"1996-05-10","MNPCA"
"1997-04-27","MNPCA"
"1998-04-12","MNPCA"
"1999-04-15","MNPCA"
"2000-04-06","MNPCA"
"2001-04-28","MNPCA"
"2002-04-22","MNPCA"
"2003-04-23","MNPCA"
"2004-04-19","MNPCA"
"2005-04-12","MNPCA"
"2006-04-14","MNPCA"
"2007-04-25","MNPCA"
"2008-05-04","MNPCA"
"2009-04-26","MNDNR-LLMMP"
"2010-04-02","MNDNR-LLMMP"
"2011-04-26","MNDNR-LLMMP"
"2012-03-25","MNDNR-LLMMP"
"2013-05-12","MNDNR-SCO"
"2013-05-12","MNDNR-SCO"
"2013-05-14","MNDNR-LLMMP"
"2013-05-14","MNDNR-SCO"
"2014-05-06","MNDNR-LLMMP"
"2016-04-14","MNDNR-LLMMP"
"2016-04-16","MNDNR-SCO"
"2017-04-07","MNDNR-LLMMP"
"2020-04-27","MNDNR-LLMMP"
"2021-03-30","MNDNR-SCO"
"2022-05-07","MNDNR-LLMMP"
