"Name: Little Rock"
"ID: 05001300"
"Ice Out Date","Source"
"1991-04-07","MNDNR-LLMMP"
"1992-04-05","MNDNR-LLMMP"
"1994-04-12","MNDNR-LLMMP"
"1995-04-15","MNDNR-LLMMP"
"1996-04-24","MNDNR-LLMMP"
"1997-04-18","MNDNR-LLMMP"
"1998-04-01","MNDNR-LLMMP"
"1999-03-31","MNDNR-LLMMP"
"2000-03-22","MNDNR-LLMMP"
"2001-04-20","MNDNR-LLMMP"
"2002-04-15","MNDNR-LLMMP"
"2003-04-12","MNDNR-LLMMP"
"2004-04-03","MNDNR-LLMMP"
"2005-04-06","MNDNR-LLMMP"
"2006-04-05","MNDNR-LLMMP"
"2007-04-01","MNDNR-LLMMP"
"2008-04-17","MNPCA"
"2009-04-15","MNDNR-LLMMP"
"2010-03-31","MNDNR-LLMMP"
"2011-04-13","MNDNR-LLMMP"
"2012-03-19","MNDNR-SCO"
"2013-05-02","MNDNR-SCO"
"2013-05-02","MNDNR-LLMMP"
"2014-04-24","MNDNR-SCO"
"2015-04-02","MNDNR-LLMMP"
"2015-04-02","MNDNR-SCO"
"2016-03-15","MNDNR-SCO"
"2017-03-29","MNDNR-LLMMP"
"2017-03-29","MNDNR-SCO"
"2018-05-02","MNDNR-LLMMP"
"2018-05-02","MNDNR-SCO"
"2019-04-20","MNDNR-LLMMP"
"2019-04-20","MNDNR-SCO"
"2020-04-07","MNDNR-SCO"
"2021-03-30","MNDNR-SCO"
"2022-04-16","MNDNR-SCO"
"2022-04-16","MNDNR-LLMMP"
