"Name: Minnewashta"
"ID: 10000900"
"Ice Out Date","Source"
"1981-03-25","MNDNR-SCO"
"1983-04-12","MNDNR-SCO"
"1984-04-11","MNDNR-SCO"
"1990-03-31","MNDNR-SCO"
"1991-04-07","MNDNR-SCO"
"2003-04-07","MNPCA"
"2004-04-05","MNPCA"
"2005-04-06","MNPCA"
"2007-03-28","MNPCA"
"2007-03-30","MNPCA"
"2008-04-21","MNPCA"
"2013-04-29","MNDNR-SCO"
"2014-04-21","MNPCA"
"2014-04-21","MNDNR-SCO"
"2015-04-01","MNPCA"
"2015-04-01","MNDNR-SCO"
"2016-03-15","MNDNR-SCO"
"2016-03-15","MNPCA"
"2017-03-08","MNPCA"
"2017-03-08","MNDNR-LLMMP"
"2017-03-21","MNDNR-SCO"
"2018-05-03","MNDNR-SCO"
"2019-04-10","MNDNR-LLMMP"
"2019-04-12","MNDNR-SCO"
"2020-03-30","MNDNR-SCO"
"2021-03-27","MNDNR-LLMMP"
