"Name: St. Joe"
"ID: 10001100"
"Ice Out Date","Source"
"1991-04-04","MNPCA"
"1992-04-05","MNPCA"
"1993-04-15","MNPCA"
"1994-04-03","MNPCA"
"1995-04-02","MNPCA"
"1996-04-19","MNPCA"
"1997-04-06","MNPCA"
"1998-03-30","MNPCA"
"1999-04-03","MNPCA"
"2000-03-07","MNPCA"
"2001-04-14","MNPCA"
"2002-04-14","MNPCA"
"2003-04-01","MNPCA"
"2013-04-28","MNDNR-SCO"
"2014-04-18","MNDNR-SCO"
"2016-03-13","MNDNR-SCO"
"2016-03-13","MNPCA"
"2017-03-08","MNDNR-SCO"
"2020-03-30","MNDNR-SCO"
"2021-03-25","MNDNR-SCO"
"2022-04-10","MNDNR-SCO"
