"Name: Virginia"
"ID: 10001500"
"Ice Out Date","Source"
"1992-04-06","MNPCA"
"1993-04-15","MNPCA"
"1994-04-04","MNPCA"
"1995-04-02","MNPCA"
"1996-04-20","MNPCA"
"1997-04-13","MNPCA"
"1998-03-31","MNPCA"
"1999-03-30","MNPCA"
"2000-03-08","MNPCA"
"2001-04-15","MNPCA"
"2002-04-14","MNPCA"
"2003-04-02","MNPCA"
"2004-04-03","MNPCA"
"2005-04-05","MNPCA"
"2006-04-07","MNPCA"
"2007-03-28","MNPCA"
"2008-04-21","MNPCA"
"2013-04-28","MNDNR-SCO"
"2014-04-16","MNDNR-LLMMP"
"2014-04-19","MNDNR-SCO"
"2015-03-29","MNDNR-LLMMP"
"2015-03-30","MNDNR-SCO"
"2016-03-12","MNDNR-LLMMP"
"2017-03-23","MNDNR-LLMMP"
"2018-04-30","MNDNR-SCO"
"2018-04-30","MNDNR-LLMMP"
"2019-04-08","MNDNR-SCO"
"2019-04-09","MNDNR-LLMMP"
"2019-04-09","MNPCA"
"2020-03-29","MNDNR-LLMMP"
"2020-03-30","MNDNR-SCO"
"2021-03-26","MNDNR-LLMMP"
"2021-03-27","MNDNR-SCO"
"2022-04-10","MNPCA"
"2022-04-10","MNDNR-SCO"
