"Name: Piersons"
"ID: 10005300"
"Ice Out Date","Source"
"1980-04-15","MNPCA"
"1981-03-22","MNPCA"
"1982-04-17","MNPCA"
"1983-04-09","MNPCA"
"1984-04-12","MNPCA"
"1985-04-11","MNPCA"
"1986-04-06","MNPCA"
"1987-03-13","MNPCA"
"1988-04-04","MNPCA"
"1989-04-14","MNDNR-SCO"
"1989-04-16","MNPCA"
"1990-03-30","MNDNR-SCO"
"1990-03-31","MNPCA"
"1991-04-06","MNPCA"
"1992-04-05","MNPCA"
"1993-04-17","MNPCA"
"1994-04-07","MNPCA"
"1995-03-28","MNPCA"
"1996-04-20","MNPCA"
"1997-04-15","MNPCA"
"1998-03-30","MNPCA"
"1999-03-30","MNPCA"
"2000-03-09","MNPCA"
"2001-04-15","MNPCA"
"2003-04-02","MNPCA"
"2004-04-03","MNPCA"
"2005-04-05","MNPCA"
"2007-04-07","MNPCA"
"2008-04-21","MNPCA"
"2013-04-29","MNDNR-SCO"
"2014-04-21","MNDNR-SCO"
"2015-04-01","MNPCA"
"2016-03-15","MNDNR-SCO"
"2017-03-20","MNPCA"
"2017-03-21","MNDNR-SCO"
"2019-04-09","MNDNR-SCO"
"2019-04-09","MNPCA"
"2020-04-01","MNDNR-SCO"
"2020-04-01","MNPCA"
"2021-03-28","MNDNR-SCO"
