"Name: Waconia"
"ID: 10005900"
"Ice Out Date","Source"
"1940-04-07","MNDNR-SCO"
"1941-05-01","MNDNR-SCO"
"1942-04-28","MNDNR-SCO"
"1943-04-06","MNDNR-SCO"
"1944-04-15","MNDNR-SCO"
"1945-04-12","MNDNR-SCO"
"1946-04-15","MNDNR-SCO"
"1947-04-18","MNDNR-SCO"
"1948-04-12","MNDNR-SCO"
"1949-04-13","MNDNR-SCO"
"1950-05-01","MNDNR-SCO"
"1951-04-27","MNDNR-SCO"
"1952-04-19","MNDNR-SCO"
"1953-04-07","MNDNR-SCO"
"1954-04-09","MNDNR-SCO"
"1955-04-12","MNDNR-SCO"
"1956-04-18","MNDNR-SCO"
"1957-04-16","MNDNR-SCO"
"1958-04-10","MNDNR-SCO"
"1959-04-05","MNDNR-SCO"
"1960-04-13","MNDNR-SCO"
"1961-04-13","MNDNR-SCO"
"1962-04-26","MNDNR-SCO"
"1963-04-03","MNDNR-SCO"
"1964-04-15","MNDNR-SCO"
"1965-05-01","MNDNR-SCO"
"1966-03-31","MNDNR-SCO"
"1967-04-07","MNDNR-SCO"
"1968-03-30","MNDNR-SCO"
"1969-04-17","MNDNR-SCO"
"1970-04-17","MNDNR-SCO"
"1971-04-15","MNDNR-SCO"
"1972-04-25","MNDNR-SCO"
"1973-04-05","MNDNR-SCO"
"1974-04-19","MNDNR-SCO"
"1975-04-27","MNDNR-SCO"
"1976-04-02","MNDNR-SCO"
"1977-04-05","MNDNR-SCO"
"1978-04-14","MNDNR-SCO"
"1979-04-23","MNDNR-LAKESDB"
"1979-04-23","MNDNR-SCO"
"1981-03-25","MNDNR-SCO"
"1982-04-18","MNDNR-SCO"
"1983-04-13","MNDNR-SCO"
"1983-04-14","MNDNR-LAKESDB"
"1984-04-15","MNDNR-SCO"
"1985-04-13","MNDNR-SCO"
"1986-04-08","MNDNR-SCO"
"1986-04-08","MNDNR-LAKESDB"
"1987-03-14","MNDNR-SCO"
"1988-04-03","MNDNR-LAKESDB"
"1988-04-03","MNDNR-SCO"
"1989-04-16","MNDNR-LAKESDB"
"1989-04-16","MNDNR-SCO"
"1990-03-29","MNDNR-LAKESDB"
"1990-03-29","MNDNR-SCO"
"1991-04-07","MNDNR-SCO"
"1991-04-07","MNDNR-LAKESDB"
"1992-04-07","MNDNR-LAKESDB"
"1992-04-07","MNDNR-SCO"
"1993-04-19","MNDNR-LAKESDB"
"1993-04-19","MNDNR-SCO"
"1994-04-10","MNDNR-LAKESDB"
"1994-04-11","MNDNR-SCO"
"1995-04-02","MNDNR-SCO"
"1995-04-03","MNDNR-LAKESDB"
"1996-04-23","MNDNR-SCO"
"1997-04-18","MNDNR-SCO"
"1998-04-03","MNDNR-SCO"
"1999-03-31","MNDNR-LAKESDB"
"1999-03-31","MNDNR-SCO"
"2000-03-15","MNDNR-SCO"
"2001-04-20","MNDNR-SCO"
"2002-04-15","MNDNR-SCO"
"2003-04-10","MNDNR-SCO"
"2004-04-04","MNDNR-SCO"
"2005-04-08","MNPCA"
"2005-04-08","MNDNR-SCO"
"2006-04-07","MNDNR-SCO"
"2007-04-01","MNDNR-SCO"
"2007-04-01","MNPCA"
"2008-04-22","MNDNR-SCO"
"2008-04-22","MNPCA"
"2009-04-10","MNDNR-SCO"
"2010-04-02","MNDNR-SCO"
"2011-04-13","MNDNR-SCO"
"2012-03-18","MNDNR-SCO"
"2013-04-30","MNDNR-SCO"
"2013-04-30","MNDNR-LLMMP"
"2014-04-23","MNDNR-SCO"
"2015-04-02","MNDNR-SCO"
"2015-04-02","MNDNR-LLMMP"
"2016-03-16","MNDNR-SCO"
"2017-03-07","MNDNR-SCO"
"2018-05-04","MNDNR-SCO"
"2019-04-13","MNDNR-SCO"
"2020-04-02","MNDNR-SCO"
"2021-03-29","MNDNR-SCO"
"2022-04-13","MNDNR-SCO"
