"Name: Burandt"
"ID: 10008400"
"Ice Out Date","Source"
"1999-03-27","MNDNR-SCO"
"2010-03-31","MNDNR-LLMMP"
"2011-04-10","MNDNR-LLMMP"
"2012-03-17","MNDNR-LLMMP"
"2013-04-30","MNDNR-LLMMP"
"2014-04-18","MNDNR-SCO"
"2014-04-18","MNDNR-LLMMP"
"2015-03-29","MNDNR-LLMMP"
"2016-03-14","MNDNR-SCO"
"2016-03-14","MNDNR-LLMMP"
"2016-03-14","MNPCA"
"2017-03-22","MNDNR-SCO"
"2017-03-23","MNDNR-LLMMP"
"2017-03-23","MNPCA"
"2019-04-09","MNDNR-LLMMP"
"2019-04-10","MNPCA"
"2020-04-01","MNPCA"
"2020-04-01","MNDNR-LLMMP"
"2021-03-24","MNDNR-SCO"
"2021-03-25","MNDNR-LLMMP"
"2022-04-10","MNDNR-LLMMP"
