"Name: Swede"
"ID: 10009500"
"Ice Out Date","Source"
"1990-03-26","MNDNR-SCO"
"1998-03-30","MNPCA"
"1999-03-28","MNPCA"
"2000-03-08","MNPCA"
"2001-04-16","MNPCA"
"2002-04-14","MNPCA"
"2003-04-02","MNPCA"
"2004-03-28","MNPCA"
"2005-04-04","MNPCA"
"2007-03-28","MNPCA"
"2008-04-20","MNPCA"
"2011-04-09","MNDNR-LLMMP"
"2013-04-28","MNDNR-LLMMP"
"2013-04-28","MNDNR-SCO"
"2014-04-19","MNDNR-LLMMP"
"2015-03-30","MNDNR-SCO"
"2015-03-30","MNPCA"
"2016-03-12","MNDNR-SCO"
"2017-03-23","MNDNR-SCO"
"2018-05-01","MNDNR-SCO"
"2019-04-08","MNDNR-SCO"
"2020-03-30","MNDNR-SCO"
"2021-03-24","MNDNR-SCO"
"2022-04-09","MNDNR-SCO"
