"Name: Roosevelt"
"ID: 11004300"
"Ice Out Date","Source"
"2002-04-19","MNPCA"
"2002-04-22","MNPCA"
"2002-04-23","MNPCA"
"2003-04-23","MNPCA"
"2003-04-23","MNPCA"
"2004-04-17","MNPCA"
"2004-04-18","MNPCA"
"2005-04-13","MNPCA"
"2005-04-14","MNPCA"
"2006-04-11","MNPCA"
"2007-04-22","MNPCA"
"2008-05-04","MNPCA"
"2011-04-27","MNDNR-SCO"
"2015-04-13","MNDNR-SCO"
"2016-04-09","MNDNR-SCO"
"2017-04-07","MNDNR-SCO"
"2019-04-25","MNDNR-SCO"
"2020-04-18","MNDNR-SCO"
"2021-04-06","MNDNR-SCO"
"2022-05-07","MNDNR-SCO"
