"Name: Little Boy"
"ID: 11016700"
"Ice Out Date","Source"
"1983-04-21","MNDNR-SCO"
"2002-04-21","MNPCA"
"2003-04-20","MNPCA"
"2004-04-19","MNPCA"
"2004-04-19","MNPCA"
"2006-04-11","MNDNR-LAKESDB"
"2009-04-23","MNDNR-LLMMP"
"2011-04-26","MNDNR-LLMMP"
"2012-03-27","MNDNR-LLMMP"
"2013-05-13","MNDNR-LLMMP"
"2014-05-01","MNDNR-SCO"
"2014-05-01","MNDNR-LLMMP"
"2015-04-12","MNDNR-LLMMP"
"2016-04-09","MNDNR-LLMMP"
"2017-04-05","MNDNR-LLMMP"
"2018-05-04","MNDNR-LLMMP"
"2018-05-04","MNDNR-SCO"
"2019-04-26","MNDNR-SCO"
"2019-04-26","MNDNR-LLMMP"
"2020-04-22","MNDNR-LLMMP"
"2022-05-06","MNPCA"
