"Name: Barnum"
"ID: 11028100"
"Ice Out Date","Source"
"1994-04-11","MNPCA"
"1995-04-17","MNPCA"
"1996-05-03","MNPCA"
"1997-04-23","MNPCA"
"1998-04-08","MNPCA"
"1999-04-09","MNPCA"
"2000-03-30","MNPCA"
"2002-04-18","MNPCA"
"2003-04-15","MNPCA"
"2004-04-16","MNPCA"
"2005-04-10","MNPCA"
"2006-04-12","MNDNR-LAKESDB"
"2006-04-12","MNPCA"
"2008-05-02","MNPCA"
"2008-05-02","MNDNR-LAKESDB"
"2010-03-31","MNDNR-LLMMP"
"2011-04-20","MNDNR-LLMMP"
"2012-03-24","MNDNR-LLMMP"
"2013-05-08","MNDNR-LLMMP"
"2014-04-18","MNDNR-LLMMP"
"2015-04-10","MNDNR-LLMMP"
"2016-03-29","MNPCA"
"2017-04-07","MNDNR-LLMMP"
"2018-04-30","MNPCA"
"2018-04-30","MNDNR-LLMMP"
"2019-04-24","MNDNR-LLMMP"
"2020-04-18","MNDNR-LLMMP"
"2020-04-22","MNDNR-SCO"
"2021-04-04","MNDNR-LLMMP"
"2021-04-06","MNDNR-SCO"
