"Name: Rainy"
"ID: 11035600"
"Ice Out Date","Source"
"1985-04-16","MNPCA"
"1986-04-10","MNPCA"
"1987-04-08","MNPCA"
"1989-04-27","MNPCA"
"1990-04-22","MNPCA"
"1991-04-09","MNPCA"
"1992-04-07","MNPCA"
"1993-04-19","MNPCA"
"1996-05-03","MNPCA"
"1998-04-08","MNPCA"
"1999-04-09","MNPCA"
"2000-03-31","MNPCA"
"2001-04-26","MNPCA"
"2002-04-13","MNPCA"
"2003-04-15","MNPCA"
"2004-04-17","MNPCA"
"2005-04-10","MNPCA"
"2006-04-02","MNPCA"
"2007-04-21","MNPCA"
"2008-04-27","MNPCA"
"2015-04-11","MNPCA"
"2016-03-30","MNPCA"
"2017-04-05","MNPCA"
"2018-04-30","MNPCA"
"2019-04-23","MNPCA"
"2020-04-18","MNPCA"
