"Name: Goose"
"ID: 13008300"
"Ice Out Date","Source"
"1992-04-09","MNDNR-LLMMP"
"1993-04-17","MNDNR-LLMMP"
"1995-04-11","MNDNR-LLMMP"
"1996-04-23","MNDNR-LLMMP"
"1997-04-19","MNDNR-LLMMP"
"1998-03-30","MNDNR-LLMMP"
"1999-04-01","MNDNR-LLMMP"
"2001-04-15","MNDNR-LLMMP"
"2002-04-16","MNDNR-LLMMP"
"2003-04-10","MNDNR-LLMMP"
"2004-04-06","MNPCA"
"2005-04-06","MNDNR-LLMMP"
"2005-04-07","MNPCA"
"2006-04-06","MNDNR-LAKESDB"
"2006-04-06","MNDNR-LLMMP"
"2006-04-07","MNPCA"
"2007-04-04","MNPCA"
"2008-04-23","MNPCA"
"2008-04-23","MNPCA"
"2009-04-06","MNDNR-LLMMP"
"2016-03-16","MNPCA"
"2016-03-16","MNDNR-SCO"
"2017-03-27","MNPCA"
"2018-05-02","MNPCA"
"2019-04-12","MNDNR-LLMMP"
"2020-04-04","MNDNR-LLMMP"
"2020-04-05","MNPCA"
"2021-03-27","MNDNR-LLMMP"
