"Name: Elk"
"ID: 15001000"
"Ice Out Date","Source"
"1988-04-17","MNPCA"
"1989-04-29","MNPCA"
"1990-04-24","MNPCA"
"1991-04-18","MNPCA"
"1993-04-18","MNPCA"
"1994-04-18","MNPCA"
"2000-04-14","MNPCA"
"2003-04-17","MNPCA"
"2004-04-19","MNPCA"
"2008-05-08","MNDNR-LAKESDB"
"2009-04-22","MNDNR-SCO"
"2010-04-02","MNDNR-SCO"
"2011-04-28","MNDNR-SCO"
"2012-03-26","MNDNR-SCO"
"2013-05-14","MNDNR-SCO"
"2014-05-02","MNDNR-SCO"
"2015-04-17","MNDNR-SCO"
"2016-04-11","MNDNR-SCO"
"2017-04-07","MNDNR-SCO"
"2018-05-02","MNDNR-SCO"
"2019-04-25","MNDNR-SCO"
"2020-04-27","MNDNR-SCO"
"2021-04-07","MNDNR-SCO"
"2022-05-09","MNDNR-SCO"
