"Name: Itasca"
"ID: 15001600"
"Ice Out Date","Source"
"1929-04-19","MNDNR-LAKESDB"
"1929-04-19","MNDNR-SCO"
"1930-04-15","MNDNR-SCO"
"1931-04-15","MNDNR-SCO"
"1932-04-21","MNDNR-LAKESDB"
"1932-04-21","MNDNR-SCO"
"1933-04-23","MNDNR-SCO"
"1934-04-29","MNDNR-SCO"
"1935-04-25","MNDNR-SCO"
"1936-05-03","MNDNR-SCO"
"1937-04-27","MNDNR-SCO"
"1938-04-12","MNDNR-SCO"
"1939-04-27","MNDNR-LAKESDB"
"1939-04-27","MNDNR-SCO"
"1940-04-28","MNDNR-SCO"
"1940-04-29","MNPCA"
"1941-04-14","MNPCA"
"1941-04-15","MNDNR-SCO"
"1942-04-18","MNDNR-SCO"
"1942-04-18","MNPCA"
"1943-04-23","MNPCA"
"1943-04-23","MNDNR-SCO"
"1944-04-29","MNDNR-LAKESDB"
"1944-04-29","MNDNR-SCO"
"1944-05-01","MNPCA"
"1945-04-09","MNDNR-SCO"
"1945-04-09","MNPCA"
"1946-04-12","MNPCA"
"1946-04-12","MNDNR-SCO"
"1947-05-01","MNPCA"
"1947-05-01","MNDNR-SCO"
"1948-04-22","MNPCA"
"1948-04-22","MNDNR-SCO"
"1949-04-20","MNPCA"
"1949-04-20","MNDNR-SCO"
"1950-05-18","MNDNR-SCO"
"1950-05-18","MNPCA"
"1951-05-01","MNPCA"
"1951-05-01","MNDNR-SCO"
"1952-04-23","MNPCA"
"1952-04-24","MNDNR-SCO"
"1953-04-25","MNPCA"
"1953-04-25","MNDNR-SCO"
"1954-04-23","MNPCA"
"1954-04-23","MNDNR-SCO"
"1955-04-18","MNPCA"
"1955-04-19","MNDNR-SCO"
"1956-05-06","MNDNR-SCO"
"1956-05-07","MNPCA"
"1957-04-24","MNDNR-SCO"
"1957-04-24","MNPCA"
"1958-04-14","MNDNR-SCO"
"1958-04-14","MNPCA"
"1959-04-22","MNPCA"
"1959-04-22","MNDNR-SCO"
"1960-04-23","MNDNR-LAKESDB"
"1960-04-23","MNDNR-SCO"
"1960-04-24","MNPCA"
"1961-04-28","MNPCA"
"1961-04-28","MNDNR-SCO"
"1962-04-28","MNPCA"
"1962-04-29","MNDNR-LAKESDB"
"1962-04-29","MNDNR-SCO"
"1963-04-15","MNDNR-SCO"
"1963-04-15","MNPCA"
"1963-04-15","MNDNR-LAKESDB"
"1964-04-25","MNPCA"
"1964-04-26","MNDNR-LAKESDB"
"1964-04-26","MNDNR-SCO"
"1965-05-01","MNDNR-LAKESDB"
"1965-05-01","MNDNR-SCO"
"1965-05-01","MNPCA"
"1966-05-05","MNPCA"
"1966-05-08","MNDNR-LAKESDB"
"1966-05-08","MNDNR-SCO"
"1967-04-16","MNPCA"
"1967-04-18","MNDNR-SCO"
"1967-04-18","MNDNR-LAKESDB"
"1968-04-17","MNDNR-SCO"
"1968-04-17","MNPCA"
"1969-04-21","MNPCA"
"1969-04-21","MNDNR-SCO"
"1970-04-30","MNPCA"
"1970-04-30","MNDNR-SCO"
"1971-04-20","MNPCA"
"1971-04-21","MNDNR-SCO"
"1971-04-21","MNDNR-LAKESDB"
"1972-04-30","MNPCA"
"1972-05-01","MNDNR-SCO"
"1973-04-12","MNPCA"
"1973-04-14","MNDNR-LAKESDB"
"1973-04-14","MNDNR-SCO"
"1974-04-26","MNPCA"
"1974-04-27","MNDNR-SCO"
"1975-05-05","MNPCA"
"1975-05-05","MNDNR-SCO"
"1976-04-13","MNDNR-SCO"
"1976-04-13","MNPCA"
"1977-04-14","MNPCA"
"1977-04-21","MNDNR-SCO"
"1978-04-27","MNPCA"
"1978-04-28","MNDNR-SCO"
"1979-05-05","MNDNR-SCO"
"1979-05-07","MNPCA"
"1980-04-21","MNPCA"
"1980-04-21","MNDNR-SCO"
"1981-04-09","MNDNR-SCO"
"1981-04-09","MNPCA"
"1982-04-27","MNPCA"
"1982-04-27","MNDNR-SCO"
"1983-04-24","MNDNR-SCO"
"1983-04-24","MNPCA"
"1984-04-19","MNDNR-SCO"
"1984-04-19","MNPCA"
"1985-04-20","MNPCA"
"1985-04-20","MNDNR-SCO"
"1986-04-12","MNDNR-SCO"
"1986-04-12","MNPCA"
"1987-04-11","MNDNR-SCO"
"1987-04-11","MNPCA"
"1988-04-16","MNDNR-LAKESDB"
"1988-04-17","MNPCA"
"1989-04-29","MNPCA"
"1989-04-30","MNDNR-SCO"
"1990-04-24","MNPCA"
"1990-04-25","MNDNR-SCO"
"1991-04-18","MNDNR-SCO"
"1991-04-18","MNPCA"
"1992-04-11","MNPCA"
"1992-04-15","MNDNR-LAKESDB"
"1993-04-19","MNPCA"
"1993-04-20","MNDNR-LAKESDB"
"1993-04-20","MNDNR-SCO"
"1994-04-18","MNPCA"
"1994-04-18","MNDNR-SCO"
"1995-04-26","MNPCA"
"1995-04-26","MNDNR-SCO"
"1996-05-06","MNPCA"
"1997-04-27","MNPCA"
"1998-04-12","MNPCA"
"1999-04-14","MNPCA"
"2000-04-09","MNPCA"
"2001-04-27","MNPCA"
"2002-04-18","MNPCA"
"2003-04-16","MNPCA"
"2004-04-18","MNDNR-SCO"
"2004-04-19","MNPCA"
"2005-04-13","MNDNR-SCO"
"2006-04-13","MNDNR-SCO"
"2007-04-23","MNDNR-SCO"
"2008-05-07","MNDNR-SCO"
"2008-05-07","MNDNR-LAKESDB"
"2009-04-23","MNDNR-LLMMP"
"2010-04-03","MNDNR-SCO"
"2011-04-28","MNDNR-SCO"
"2012-03-26","MNDNR-SCO"
"2013-05-13","MNDNR-SCO"
"2014-05-03","MNDNR-SCO"
"2015-04-15","MNDNR-SCO"
"2016-04-02","MNDNR-SCO"
"2017-04-07","MNDNR-SCO"
"2018-04-30","MNPCA"
"2018-04-30","MNDNR-SCO"
"2019-04-25","MNDNR-SCO"
"2020-04-26","MNDNR-SCO"
"2021-04-06","MNDNR-SCO"
"2022-05-07","MNDNR-SCO"
