"Name: Greenwood"
"ID: 16007700"
"Ice Out Date","Source"
"1998-04-13","MNDNR-SCO"
"1998-04-13","MNDNR-LAKESDB"
"2000-04-28","MNDNR-SCO"
"2001-05-05","MNDNR-SCO"
"2003-05-09","MNDNR-SCO"
"2004-05-10","MNDNR-SCO"
"2007-05-03","MNDNR-SCO"
"2008-05-18","MNDNR-SCO"
"2009-05-16","MNDNR-SCO"
"2010-04-14","MNDNR-SCO"
"2011-05-16","MNDNR-SCO"
"2012-04-10","MNDNR-SCO"
"2014-05-24","MNDNR-SCO"
"2015-05-07","MNDNR-SCO"
"2019-05-20","MNDNR-SCO"
"2020-05-17","MNDNR-SCO"
"2021-05-01","MNDNR-SCO"
"2022-05-20","MNDNR-SCO"
