"Name: Devil Track"
"ID: 16014300"
"Ice Out Date","Source"
"1995-05-07","MNDNR-SCO"
"1997-05-08","MNDNR-SCO"
"2000-04-26","MNDNR-SCO"
"2001-05-04","MNPCA"
"2002-05-06","MNPCA"
"2002-05-08","MNDNR-SCO"
"2002-05-09","MNPCA"
"2002-05-10","MNPCA"
"2003-05-05","MNDNR-SCO"
"2003-05-06","MNPCA"
"2003-05-07","MNPCA"
"2004-05-04","MNPCA"
"2004-05-04","MNPCA"
"2004-05-04","MNDNR-SCO"
"2004-05-10","MNPCA"
"2005-04-20","MNPCA"
"2005-04-20","MNPCA"
"2006-04-23","MNPCA"
"2006-04-23","MNPCA"
"2007-04-26","MNPCA"
"2007-04-27","MNPCA"
"2007-04-28","MNPCA"
"2008-05-10","MNPCA"
"2008-05-10","MNPCA"
"2008-05-11","MNDNR-SCO"
"2008-05-11","MNPCA"
"2009-05-13","MNDNR-SCO"
"2010-04-10","MNDNR-SCO"
"2011-05-12","MNDNR-SCO"
"2013-05-18","MNDNR-SCO"
"2014-05-20","MNDNR-SCO"
"2018-05-09","MNPCA"
"2022-05-15","MNDNR-SCO"
"2022-05-16","MNPCA"
