"Name: Caribou"
"ID: 16036000"
"Ice Out Date","Source"
"1979-05-17","MNDNR-SCO"
"1980-04-27","MNDNR-SCO"
"1984-04-26","MNDNR-SCO"
"1984-04-26","MNDNR-LAKESDB"
"1990-04-26","MNDNR-SCO"
"1994-05-07","MNDNR-SCO"
"1995-05-06","MNDNR-SCO"
"1996-05-19","MNDNR-SCO"
"1997-05-06","MNDNR-SCO"
"2002-04-25","MNPCA"
"2003-05-05","MNPCA"
"2005-04-20","MNPCA"
"2006-04-19","MNDNR-SCO"
"2007-04-25","MNPCA"
"2007-04-25","MNPCA"
"2008-05-07","MNDNR-SCO"
"2008-05-08","MNPCA"
"2008-05-08","MNPCA"
"2009-05-08","MNDNR-SCO"
"2012-04-03","MNDNR-SCO"
"2014-05-15","MNDNR-SCO"
"2015-04-27","MNDNR-SCO"
"2016-04-30","MNDNR-SCO"
"2018-05-08","MNDNR-SCO"
"2019-05-12","MNDNR-SCO"
"2020-05-03","MNDNR-LLMMP"
"2020-05-04","MNDNR-SCO"
"2021-04-16","MNDNR-SCO"
"2021-04-16","MNDNR-LLMMP"
"2022-05-14","MNDNR-SCO"
