"Name: Hamlet"
"ID: 18007000"
"Ice Out Date","Source"
"2003-04-15","MNPCA"
"2004-04-18","MNPCA"
"2005-04-12","MNPCA"
"2006-04-08","MNPCA"
"2008-05-01","MNPCA"
"2009-04-21","MNDNR-LLMMP"
"2010-04-02","MNDNR-LLMMP"
"2011-04-22","MNDNR-LLMMP"
"2012-03-28","MNDNR-LLMMP"
"2013-05-13","MNDNR-LLMMP"
"2014-05-01","MNDNR-LLMMP"
"2015-04-12","MNDNR-SCO"
"2015-04-12","MNPCA"
"2015-04-12","MNDNR-LLMMP"
"2017-04-04","MNPCA"
"2017-04-04","MNDNR-LLMMP"
"2018-05-04","MNDNR-LLMMP"
"2019-04-24","MNPCA"
"2019-04-24","MNDNR-LLMMP"
"2020-04-18","MNDNR-LLMMP"
"2021-04-06","MNDNR-LLMMP"
"2022-05-03","MNDNR-SCO"
"2022-05-04","MNPCA"
