"Name: Upper South Long"
"ID: 18009600"
"Ice Out Date","Source"
"1998-04-05","MNPCA"
"1999-04-07","MNPCA"
"2000-03-26","MNPCA"
"2001-04-25","MNPCA"
"2002-04-16","MNPCA"
"2002-04-16","MNPCA"
"2003-04-15","MNPCA"
"2004-04-13","MNPCA"
"2005-04-09","MNPCA"
"2005-04-10","MNPCA"
"2006-04-06","MNPCA"
"2007-04-19","MNPCA"
"2008-04-30","MNPCA"
"2013-05-10","MNPCA"
"2013-05-10","MNDNR-SCO"
"2014-04-28","MNPCA"
"2015-04-10","MNPCA"
"2016-03-29","MNDNR-LLMMP"
"2016-03-29","MNPCA"
"2017-04-02","MNPCA"
"2018-05-02","MNPCA"
"2019-04-22","MNPCA"
"2019-04-22","MNDNR-LLMMP"
"2022-04-30","MNPCA"
"2022-04-30","MNDNR-LLMMP"
