"Name: Whitefish"
"ID: 18031000"
"Ice Out Date","Source"
"1983-04-23","MNDNR-SCO"
"1983-04-23","MNDNR-LAKESDB"
"1995-04-30","MNDNR-SCO"
"1995-04-30","MNDNR-LAKESDB"
"2013-05-14","MNDNR-SCO"
"2014-04-28","MNPCA"
"2014-04-30","MNDNR-SCO"
"2015-04-13","MNDNR-SCO"
"2016-04-14","MNDNR-SCO"
"2017-04-11","MNDNR-SCO"
"2017-04-11","MNPCA"
"2018-05-07","MNDNR-SCO"
"2019-04-25","MNDNR-SCO"
"2019-04-25","MNPCA"
"2020-04-22","MNDNR-SCO"
"2020-04-25","MNPCA"
"2021-04-07","MNDNR-SCO"
"2022-05-07","MNDNR-SCO"
"2022-05-07","MNPCA"
