"Name: Latoka"
"ID: 21010600"
"Ice Out Date","Source"
"2003-04-13","MNPCA"
"2005-04-16","MNPCA"
"2006-04-07","MNPCA"
"2011-04-22","MNDNR-SCO"
"2013-05-11","MNDNR-LLMMP"
"2014-04-26","MNPCA"
"2014-05-11","MNDNR-LLMMP"
"2015-04-12","MNPCA"
"2016-03-29","MNDNR-LLMMP"
"2016-03-29","MNPCA"
"2017-03-30","MNDNR-LLMMP"
"2017-03-30","MNPCA"
"2017-04-01","MNDNR-SCO"
"2018-05-05","MNPCA"
"2018-05-05","MNDNR-LLMMP"
"2019-04-24","MNDNR-LLMMP"
"2019-04-24","MNPCA"
"2020-04-18","MNDNR-LLMMP"
"2020-04-18","MNDNR-SCO"
"2020-04-18","MNPCA"
"2021-04-05","MNDNR-LLMMP"
"2022-04-30","MNDNR-LLMMP"
"2022-04-30","MNPCA"
