"Name: Powderhorn"
"ID: 27001400"
"Ice Out Date","Source"
"1959-04-06","MNPCA"
"1963-04-01","MNPCA"
"1964-04-14","MNPCA"
"1965-04-27","MNPCA"
"1966-03-30","MNPCA"
"1967-04-04","MNPCA"
"1968-03-30","MNPCA"
"1977-03-27","MNPCA"
"1980-04-10","MNPCA"
"1989-04-12","MNPCA"
"1990-03-31","MNPCA"
"1991-04-03","MNPCA"
"1992-04-03","MNPCA"
"1993-04-10","MNPCA"
"1994-04-02","MNPCA"
"1995-03-29","MNPCA"
"1996-04-18","MNPCA"
"1997-04-05","MNPCA"
"1998-03-29","MNPCA"
"1999-03-30","MNPCA"
"2000-03-08","MNPCA"
"2001-04-13","MNPCA"
"2002-04-13","MNPCA"
"2003-04-01","MNPCA"
"2004-04-03","MNPCA"
"2005-04-04","MNPCA"
"2006-04-05","MNPCA"
"2007-03-27","MNPCA"
"2008-04-16","MNPCA"
"2015-03-25","MNPCA"
"2019-04-08","MNPCA"
"2020-03-27","MNPCA"
"2022-04-08","MNPCA"
