"Name: Nokomis"
"ID: 27001900"
"Ice Out Date","Source"
"1959-04-06","MNPCA"
"1960-04-10","MNPCA"
"1963-04-13","MNPCA"
"1964-04-11","MNPCA"
"1965-04-25","MNPCA"
"1966-03-23","MNPCA"
"1967-04-04","MNPCA"
"1968-03-30","MNPCA"
"1970-04-11","MNPCA"
"1972-04-17","MNPCA"
"1977-03-27","MNPCA"
"1980-04-08","MNPCA"
"1981-03-27","MNPCA"
"1983-04-04","MNPCA"
"1984-04-09","MNPCA"
"1985-04-03","MNPCA"
"1988-04-01","MNPCA"
"1989-04-13","MNPCA"
"1990-04-01","MNPCA"
"1991-04-04","MNPCA"
"1992-04-04","MNPCA"
"1993-04-13","MNPCA"
"1994-03-31","MNPCA"
"1995-03-25","MNPCA"
"1996-04-19","MNPCA"
"1997-04-05","MNPCA"
"1998-03-29","MNPCA"
"1999-03-30","MNPCA"
"2000-03-08","MNPCA"
"2001-04-13","MNPCA"
"2002-04-08","MNPCA"
"2003-04-02","MNPCA"
"2004-04-03","MNPCA"
"2005-04-04","MNPCA"
"2006-04-06","MNPCA"
"2007-03-27","MNPCA"
"2008-04-19","MNPCA"
"2014-04-17","MNPCA"
"2014-04-20","MNDNR-SCO"
"2015-03-25","MNDNR-SCO"
"2015-03-26","MNPCA"
"2016-03-15","MNPCA"
"2017-03-07","MNDNR-SCO"
"2018-04-30","MNDNR-SCO"
"2019-04-09","MNPCA"
"2020-03-29","MNDNR-SCO"
"2020-04-01","MNPCA"
"2021-03-24","MNDNR-SCO"
"2022-04-11","MNDNR-SCO"
"2022-04-11","MNPCA"
