"Name: Wirth"
"ID: 27003700"
"Ice Out Date","Source"
"1959-04-06","MNPCA"
"1963-04-03","MNPCA"
"1966-03-21","MNPCA"
"1967-04-04","MNPCA"
"1968-03-30","MNPCA"
"1975-04-23","MNPCA"
"1976-03-29","MNPCA"
"1977-03-26","MNPCA"
"1978-04-06","MNPCA"
"1979-04-19","MNPCA"
"1980-04-04","MNPCA"
"1980-04-08","MNPCA"
"1981-03-22","MNPCA"
"1981-03-24","MNPCA"
"1982-04-15","MNPCA"
"1983-03-31","MNPCA"
"1983-04-04","MNPCA"
"1984-04-07","MNPCA"
"1984-04-09","MNPCA"
"1985-03-29","MNPCA"
"1985-04-03","MNPCA"
"1986-04-04","MNPCA"
"1987-03-10","MNPCA"
"1987-03-16","MNPCA"
"1988-04-01","MNPCA"
"1988-04-02","MNPCA"
"1989-04-10","MNPCA"
"1989-04-12","MNPCA"
"1990-03-31","MNPCA"
"1991-04-03","MNPCA"
"1991-04-04","MNPCA"
"1992-03-30","MNPCA"
"1992-04-06","MNPCA"
"1993-04-11","MNPCA"
"1993-04-13","MNPCA"
"1994-04-01","MNPCA"
"1994-04-02","MNPCA"
"1995-03-25","MNPCA"
"1995-03-26","MNPCA"
"1996-04-18","MNPCA"
"1996-04-20","MNPCA"
"1997-04-04","MNPCA"
"1997-04-05","MNPCA"
"1998-03-27","MNPCA"
"1998-03-29","MNPCA"
"1999-03-30","MNPCA"
"1999-03-30","MNPCA"
"2000-03-07","MNPCA"
"2000-03-08","MNPCA"
"2001-04-11","MNPCA"
"2001-04-13","MNPCA"
"2002-04-11","MNPCA"
"2002-04-14","MNPCA"
"2003-03-31","MNPCA"
"2003-04-02","MNPCA"
"2004-04-02","MNPCA"
"2004-04-03","MNPCA"
"2005-04-05","MNPCA"
"2005-04-09","MNPCA"
"2006-04-05","MNPCA"
"2006-04-06","MNPCA"
"2007-03-26","MNPCA"
"2007-03-27","MNPCA"
"2008-04-16","MNPCA"
"2008-04-16","MNPCA"
"2013-04-27","MNDNR-SCO"
"2015-03-26","MNPCA"
"2015-03-27","MNDNR-SCO"
"2016-03-16","MNDNR-SCO"
"2019-04-08","MNPCA"
"2020-03-28","MNPCA"
"2022-04-11","MNPCA"
