"Name: Lake of the Isles"
"ID: 27004000"
"Ice Out Date","Source"
"1912-04-08","MNDNR-SCO"
"1912-04-08","MNPCA"
"1913-04-16","MNPCA"
"1913-04-16","MNDNR-SCO"
"1914-04-10","MNDNR-SCO"
"1915-04-11","MNDNR-SCO"
"1915-04-11","MNPCA"
"1916-04-14","MNDNR-SCO"
"1916-04-14","MNPCA"
"1917-04-15","MNPCA"
"1917-04-15","MNDNR-SCO"
"1918-04-05","MNDNR-SCO"
"1918-04-05","MNPCA"
"1919-04-03","MNPCA"
"1919-04-03","MNDNR-SCO"
"1920-04-01","MNPCA"
"1920-04-01","MNDNR-SCO"
"1922-04-09","MNDNR-SCO"
"1922-04-09","MNPCA"
"1923-04-19","MNPCA"
"1923-04-19","MNDNR-SCO"
"1938-03-28","MNDNR-SCO"
"1938-03-28","MNPCA"
"1944-04-12","MNDNR-SCO"
"1944-04-12","MNPCA"
"1947-04-13","MNPCA"
"1947-04-13","MNDNR-SCO"
"1948-04-07","MNPCA"
"1948-04-07","MNDNR-SCO"
"1949-04-10","MNDNR-SCO"
"1949-04-10","MNPCA"
"1950-04-20","MNPCA"
"1950-04-20","MNDNR-SCO"
"1951-04-22","MNPCA"
"1951-04-22","MNDNR-SCO"
"1952-04-17","MNDNR-SCO"
"1952-04-17","MNPCA"
"1953-04-03","MNDNR-SCO"
"1953-04-03","MNPCA"
"1954-04-07","MNDNR-SCO"
"1954-04-07","MNPCA"
"1955-04-08","MNPCA"
"1955-04-08","MNDNR-SCO"
"1956-04-14","MNDNR-SCO"
"1956-04-14","MNPCA"
"1957-04-12","MNDNR-SCO"
"1957-04-12","MNPCA"
"1958-04-03","MNPCA"
"1958-04-03","MNDNR-SCO"
"1959-04-05","MNPCA"
"1959-04-05","MNDNR-SCO"
"1959-04-07","MNPCA"
"1960-04-11","MNPCA"
"1960-04-11","MNPCA"
"1960-04-11","MNDNR-SCO"
"1961-04-07","MNPCA"
"1961-04-07","MNDNR-SCO"
"1962-04-20","MNPCA"
"1962-04-20","MNDNR-SCO"
"1963-04-03","MNDNR-SCO"
"1963-04-03","MNPCA"
"1963-04-13","MNPCA"
"1964-04-12","MNPCA"
"1964-04-12","MNDNR-SCO"
"1965-04-24","MNPCA"
"1965-04-24","MNDNR-SCO"
"1965-04-26","MNPCA"
"1966-03-23","MNPCA"
"1966-03-29","MNPCA"
"1966-04-29","MNDNR-SCO"
"1967-04-04","MNDNR-SCO"
"1967-04-04","MNPCA"
"1967-04-04","MNPCA"
"1968-03-29","MNPCA"
"1968-03-29","MNDNR-SCO"
"1968-03-30","MNPCA"
"1969-04-10","MNDNR-SCO"
"1969-04-10","MNPCA"
"1970-04-12","MNPCA"
"1970-04-12","MNDNR-SCO"
"1970-04-12","MNPCA"
"1971-04-11","MNPCA"
"1971-04-11","MNDNR-SCO"
"1971-04-13","MNPCA"
"1972-04-16","MNPCA"
"1972-04-17","MNDNR-SCO"
"1972-04-17","MNPCA"
"1973-03-27","MNDNR-SCO"
"1973-03-27","MNPCA"
"1974-04-17","MNPCA"
"1974-04-17","MNPCA"
"1974-04-17","MNDNR-SCO"
"1975-04-25","MNDNR-SCO"
"1975-04-25","MNPCA"
"1976-03-30","MNPCA"
"1976-03-30","MNDNR-SCO"
"1976-04-05","MNPCA"
"1977-03-27","MNPCA"
"1977-03-28","MNDNR-SCO"
"1977-03-28","MNPCA"
"1978-04-08","MNPCA"
"1978-04-08","MNDNR-SCO"
"1979-04-19","MNDNR-SCO"
"1979-04-19","MNPCA"
"1980-04-08","MNPCA"
"1980-04-09","MNDNR-SCO"
"1980-04-09","MNPCA"
"1981-03-22","MNPCA"
"1981-03-22","MNDNR-SCO"
"1981-03-25","MNPCA"
"1982-04-16","MNPCA"
"1982-04-16","MNDNR-SCO"
"1983-04-03","MNDNR-SCO"
"1983-04-03","MNPCA"
"1984-04-09","MNPCA"
"1984-04-09","MNPCA"
"1984-04-09","MNDNR-SCO"
"1985-04-05","MNPCA"
"1987-03-16","MNPCA"
"1988-04-01","MNPCA"
"1989-04-14","MNPCA"
"1990-03-31","MNPCA"
"1990-04-01","MNPCA"
"1990-04-01","MNDNR-SCO"
"1991-04-04","MNPCA"
"1991-04-04","MNDNR-SCO"
"1992-04-04","MNPCA"
"1992-04-04","MNPCA"
"1992-04-05","MNDNR-SCO"
"1992-04-05","MNPCA"
"1993-04-14","MNDNR-SCO"
"1993-04-14","MNPCA"
"1993-04-14","MNPCA"
"1993-04-27","MNPCA"
"1994-04-02","MNPCA"
"1995-03-31","MNPCA"
"1996-04-20","MNPCA"
"1997-04-05","MNPCA"
"1998-03-29","MNPCA"
"1999-04-01","MNPCA"
"2000-03-08","MNPCA"
"2000-03-08","MNPCA"
"2000-03-08","MNDNR-SCO"
"2001-04-14","MNPCA"
"2002-04-13","MNPCA"
"2003-04-01","MNPCA"
"2004-04-03","MNPCA"
"2005-04-05","MNPCA"
"2006-04-06","MNDNR-SCO"
"2006-04-06","MNPCA"
"2007-03-28","MNPCA"
"2008-04-18","MNDNR-SCO"
"2008-04-19","MNPCA"
"2009-03-31","MNDNR-SCO"
"2010-03-30","MNDNR-SCO"
"2013-04-28","MNDNR-SCO"
"2014-04-19","MNDNR-SCO"
"2015-03-30","MNPCA"
"2015-03-31","MNDNR-SCO"
"2016-03-16","MNDNR-SCO"
"2018-04-30","MNDNR-SCO"
"2019-04-09","MNPCA"
"2020-03-28","MNPCA"
"2022-04-11","MNPCA"
