"Name: Minnetonka"
"ID: 27013300"
"Ice Out Date","Source"
"1855-04-18","MNDNR-LAKESDB"
"1855-04-18","MNDNR-SCO"
"1857-05-05","MNDNR-LAKESDB"
"1857-05-05","MNDNR-SCO"
"1858-03-30","MNDNR-LAKESDB"
"1858-03-30","MNDNR-SCO"
"1859-05-04","MNDNR-LAKESDB"
"1859-05-04","MNDNR-SCO"
"1860-04-04","MNDNR-LAKESDB"
"1860-04-04","MNDNR-SCO"
"1863-04-15","MNDNR-SCO"
"1873-04-27","MNDNR-SCO"
"1877-04-14","MNDNR-LAKESDB"
"1877-04-14","MNDNR-SCO"
"1878-03-11","MNDNR-SCO"
"1878-03-11","MNDNR-LAKESDB"
"1887-04-14","MNDNR-SCO"
"1887-04-14","MNDNR-LAKESDB"
"1888-04-25","MNDNR-LAKESDB"
"1888-04-25","MNDNR-SCO"
"1889-04-01","MNDNR-LAKESDB"
"1889-04-01","MNDNR-SCO"
"1890-04-16","MNDNR-LAKESDB"
"1890-04-16","MNDNR-SCO"
"1891-04-21","MNDNR-LAKESDB"
"1891-04-21","MNDNR-SCO"
"1892-04-11","MNDNR-LAKESDB"
"1892-04-11","MNDNR-SCO"
"1893-04-28","MNDNR-SCO"
"1893-04-28","MNDNR-LAKESDB"
"1894-04-09","MNDNR-SCO"
"1894-04-09","MNDNR-LAKESDB"
"1895-04-05","MNDNR-LAKESDB"
"1895-04-05","MNDNR-SCO"
"1896-04-05","MNDNR-SCO"
"1896-04-05","MNDNR-LAKESDB"
"1897-04-18","MNDNR-LAKESDB"
"1897-04-18","MNDNR-SCO"
"1898-04-18","MNDNR-SCO"
"1898-04-18","MNDNR-LAKESDB"
"1899-04-24","MNDNR-SCO"
"1899-04-24","MNDNR-LAKESDB"
"1900-04-16","MNDNR-SCO"
"1900-04-16","MNDNR-LAKESDB"
"1901-04-23","MNDNR-LAKESDB"
"1901-04-23","MNDNR-SCO"
"1902-04-01","MNDNR-SCO"
"1902-04-01","MNDNR-LAKESDB"
"1903-04-13","MNDNR-LAKESDB"
"1903-04-13","MNDNR-SCO"
"1904-04-25","MNDNR-LAKESDB"
"1904-04-25","MNDNR-SCO"
"1905-04-02","MNDNR-SCO"
"1905-04-02","MNDNR-LAKESDB"
"1906-04-16","MNDNR-SCO"
"1906-04-16","MNDNR-LAKESDB"
"1907-04-08","MNDNR-LAKESDB"
"1907-04-08","MNDNR-SCO"
"1908-04-12","MNDNR-LAKESDB"
"1908-04-12","MNDNR-SCO"
"1909-04-26","MNDNR-LAKESDB"
"1909-04-26","MNDNR-SCO"
"1910-03-27","MNDNR-SCO"
"1910-03-27","MNDNR-LAKESDB"
"1911-04-01","MNDNR-LAKESDB"
"1911-04-01","MNDNR-SCO"
"1912-04-13","MNDNR-SCO"
"1912-04-13","MNDNR-LAKESDB"
"1913-04-18","MNDNR-SCO"
"1913-04-18","MNDNR-LAKESDB"
"1914-04-17","MNDNR-SCO"
"1914-04-17","MNDNR-LAKESDB"
"1915-04-17","MNDNR-SCO"
"1915-04-17","MNDNR-LAKESDB"
"1916-04-19","MNDNR-SCO"
"1916-04-19","MNDNR-LAKESDB"
"1917-04-18","MNDNR-LAKESDB"
"1917-04-18","MNDNR-SCO"
"1918-04-14","MNDNR-LAKESDB"
"1918-04-14","MNDNR-SCO"
"1919-04-06","MNDNR-SCO"
"1919-04-06","MNDNR-LAKESDB"
"1920-04-17","MNDNR-SCO"
"1920-04-17","MNDNR-LAKESDB"
"1921-04-03","MNDNR-SCO"
"1921-04-03","MNDNR-LAKESDB"
"1922-04-17","MNDNR-LAKESDB"
"1922-04-17","MNDNR-SCO"
"1923-04-23","MNDNR-SCO"
"1923-04-23","MNDNR-LAKESDB"
"1924-04-24","MNDNR-SCO"
"1924-04-24","MNDNR-LAKESDB"
"1925-04-07","MNDNR-SCO"
"1925-04-07","MNDNR-LAKESDB"
"1926-04-18","MNDNR-SCO"
"1926-04-18","MNDNR-LAKESDB"
"1927-04-12","MNDNR-SCO"
"1927-04-12","MNDNR-LAKESDB"
"1928-04-18","MNDNR-SCO"
"1928-04-18","MNDNR-LAKESDB"
"1929-04-07","MNDNR-LAKESDB"
"1929-04-07","MNDNR-SCO"
"1930-04-05","MNDNR-SCO"
"1930-04-05","MNDNR-LAKESDB"
"1931-04-06","MNDNR-SCO"
"1931-04-06","MNDNR-LAKESDB"
"1932-04-14","MNDNR-SCO"
"1932-04-14","MNDNR-LAKESDB"
"1933-04-18","MNDNR-LAKESDB"
"1933-04-18","MNDNR-SCO"
"1934-04-10","MNDNR-LAKESDB"
"1934-04-10","MNDNR-SCO"
"1935-04-07","MNDNR-SCO"
"1935-04-07","MNDNR-LAKESDB"
"1936-04-20","MNDNR-SCO"
"1936-04-20","MNDNR-LAKESDB"
"1937-04-19","MNDNR-SCO"
"1937-04-19","MNDNR-LAKESDB"
"1938-04-09","MNDNR-SCO"
"1938-04-09","MNDNR-LAKESDB"
"1939-04-17","MNDNR-LAKESDB"
"1939-04-17","MNDNR-SCO"
"1940-04-25","MNDNR-SCO"
"1940-04-25","MNDNR-LAKESDB"
"1941-04-14","MNDNR-LAKESDB"
"1941-04-14","MNDNR-SCO"
"1942-04-04","MNDNR-LAKESDB"
"1942-04-04","MNDNR-SCO"
"1943-04-12","MNDNR-SCO"
"1943-04-12","MNDNR-LAKESDB"
"1944-04-23","MNDNR-SCO"
"1944-04-23","MNDNR-LAKESDB"
"1945-03-30","MNDNR-SCO"
"1945-03-30","MNDNR-LAKESDB"
"1946-04-02","MNDNR-LAKESDB"
"1946-04-02","MNDNR-SCO"
"1947-04-19","MNDNR-LAKESDB"
"1947-04-19","MNDNR-SCO"
"1948-04-11","MNDNR-LAKESDB"
"1948-04-11","MNDNR-SCO"
"1949-04-13","MNDNR-LAKESDB"
"1949-04-13","MNDNR-SCO"
"1950-05-02","MNDNR-SCO"
"1950-05-02","MNDNR-LAKESDB"
"1951-04-28","MNDNR-SCO"
"1951-04-28","MNDNR-LAKESDB"
"1952-04-22","MNDNR-SCO"
"1952-04-22","MNDNR-LAKESDB"
"1953-04-08","MNDNR-LAKESDB"
"1953-04-08","MNDNR-SCO"
"1954-04-12","MNDNR-LAKESDB"
"1954-04-12","MNDNR-SCO"
"1955-04-12","MNDNR-SCO"
"1955-04-12","MNDNR-LAKESDB"
"1956-04-21","MNDNR-SCO"
"1956-04-21","MNDNR-LAKESDB"
"1957-04-20","MNDNR-SCO"
"1957-04-20","MNDNR-LAKESDB"
"1958-04-11","MNDNR-LAKESDB"
"1958-04-11","MNDNR-SCO"
"1959-04-10","MNDNR-LAKESDB"
"1959-04-10","MNDNR-SCO"
"1960-04-16","MNDNR-LAKESDB"
"1960-04-16","MNDNR-SCO"
"1961-04-14","MNDNR-LAKESDB"
"1961-04-14","MNDNR-SCO"
"1962-04-25","MNDNR-SCO"
"1962-04-25","MNDNR-LAKESDB"
"1963-04-10","MNDNR-SCO"
"1963-04-10","MNDNR-LAKESDB"
"1964-04-13","MNDNR-LAKESDB"
"1964-04-13","MNDNR-SCO"
"1965-05-01","MNDNR-SCO"
"1965-05-01","MNDNR-LAKESDB"
"1966-04-04","MNDNR-LAKESDB"
"1966-04-04","MNDNR-SCO"
"1967-04-09","MNDNR-SCO"
"1967-04-09","MNDNR-LAKESDB"
"1968-04-01","MNDNR-LAKESDB"
"1968-04-01","MNDNR-SCO"
"1969-04-17","MNDNR-SCO"
"1969-04-17","MNDNR-LAKESDB"
"1970-04-19","MNDNR-SCO"
"1970-04-19","MNDNR-LAKESDB"
"1971-04-17","MNDNR-SCO"
"1971-04-17","MNDNR-LAKESDB"
"1972-04-26","MNDNR-SCO"
"1972-04-26","MNDNR-LAKESDB"
"1973-04-04","MNDNR-SCO"
"1973-04-04","MNDNR-LAKESDB"
"1974-04-19","MNDNR-SCO"
"1974-04-19","MNDNR-LAKESDB"
"1975-04-28","MNDNR-LAKESDB"
"1975-04-28","MNDNR-SCO"
"1976-04-03","MNDNR-SCO"
"1976-04-03","MNDNR-LAKESDB"
"1977-04-10","MNDNR-LAKESDB"
"1977-04-10","MNDNR-SCO"
"1978-04-17","MNDNR-SCO"
"1978-04-17","MNDNR-LAKESDB"
"1979-04-23","MNDNR-LAKESDB"
"1979-04-23","MNDNR-SCO"
"1980-04-19","MNDNR-LAKESDB"
"1980-04-19","MNDNR-SCO"
"1981-03-27","MNDNR-SCO"
"1981-03-27","MNDNR-LAKESDB"
"1982-04-19","MNDNR-SCO"
"1982-04-19","MNDNR-LAKESDB"
"1983-04-22","MNDNR-LAKESDB"
"1983-04-22","MNDNR-SCO"
"1984-04-13","MNDNR-SCO"
"1984-04-13","MNDNR-LAKESDB"
"1985-04-13","MNDNR-LAKESDB"
"1985-04-13","MNDNR-SCO"
"1986-04-08","MNDNR-SCO"
"1986-04-08","MNDNR-LAKESDB"
"1987-03-21","MNDNR-LAKESDB"
"1987-03-21","MNDNR-SCO"
"1988-04-07","MNDNR-LAKESDB"
"1988-04-07","MNDNR-SCO"
"1989-04-17","MNDNR-SCO"
"1989-04-17","MNDNR-LAKESDB"
"1990-04-04","MNDNR-SCO"
"1990-04-04","MNDNR-LAKESDB"
"1991-04-08","MNDNR-LAKESDB"
"1991-04-08","MNDNR-SCO"
"1992-04-09","MNDNR-LAKESDB"
"1992-04-09","MNDNR-SCO"
"1993-04-19","MNDNR-SCO"
"1994-04-11","MNDNR-SCO"
"1994-04-11","MNDNR-LAKESDB"
"1995-04-03","MNDNR-SCO"
"1995-04-03","MNDNR-LAKESDB"
"1996-04-24","MNDNR-LAKESDB"
"1996-04-24","MNDNR-SCO"
"1997-04-18","MNDNR-LAKESDB"
"1997-04-18","MNDNR-SCO"
"1998-04-03","MNDNR-SCO"
"1998-04-03","MNDNR-LAKESDB"
"1999-04-02","MNPCA"
"1999-04-02","MNDNR-LAKESDB"
"1999-04-02","MNDNR-SCO"
"2000-03-18","MNDNR-SCO"
"2001-04-19","MNDNR-SCO"
"2002-04-16","MNDNR-SCO"
"2003-04-12","MNDNR-SCO"
"2004-04-05","MNDNR-SCO"
"2005-04-09","MNDNR-SCO"
"2006-04-09","MNDNR-SCO"
"2007-04-03","MNDNR-SCO"
"2008-04-23","MNDNR-SCO"
"2009-04-13","MNDNR-SCO"
"2010-04-02","MNDNR-SCO"
"2011-04-14","MNDNR-SCO"
"2012-03-21","MNDNR-SCO"
"2013-05-02","MNDNR-SCO"
"2014-04-24","MNDNR-SCO"
"2015-04-05","MNDNR-SCO"
"2016-03-17","MNDNR-SCO"
"2017-03-27","MNDNR-SCO"
"2018-05-05","MNDNR-SCO"
"2019-04-20","MNDNR-SCO"
"2020-04-02","MNDNR-SCO"
"2021-03-30","MNDNR-SCO"
"2022-04-15","MNDNR-SCO"
