"Name: Loring"
"ID: 27065500"
"Ice Out Date","Source"
"1959-04-06","MNPCA"
"1963-04-13","MNPCA"
"1966-03-19","MNPCA"
"1967-04-04","MNPCA"
"1968-03-30","MNPCA"
"1969-04-10","MNPCA"
"1980-04-04","MNPCA"
"1981-03-25","MNPCA"
"1983-03-31","MNPCA"
"1984-04-09","MNPCA"
"1985-04-03","MNPCA"
"1992-04-03","MNPCA"
"1993-04-10","MNPCA"
"1994-04-01","MNPCA"
"1995-03-29","MNPCA"
"1996-04-19","MNPCA"
"1997-04-05","MNPCA"
"1998-03-29","MNPCA"
"1999-03-29","MNPCA"
"2000-03-06","MNPCA"
"2001-04-13","MNPCA"
"2002-04-10","MNPCA"
"2003-03-31","MNPCA"
"2004-03-29","MNPCA"
"2005-04-04","MNPCA"
"2006-04-03","MNPCA"
"2007-03-26","MNPCA"
"2008-04-15","MNPCA"
"2019-04-03","MNPCA"
"2020-03-25","MNPCA"
"2022-04-05","MNPCA"
