"Name: Eighth Crow Wing"
"ID: 29007200"
"Ice Out Date","Source"
"1997-04-06","MNDNR-LLMMP"
"1997-04-20","MNPCA"
"1998-04-06","MNDNR-LLMMP"
"1998-04-06","MNPCA"
"1999-04-10","MNPCA"
"1999-04-10","MNDNR-LLMMP"
"2000-04-05","MNDNR-LLMMP"
"2000-04-05","MNPCA"
"2001-04-25","MNPCA"
"2001-04-25","MNDNR-LLMMP"
"2002-04-17","MNDNR-LLMMP"
"2002-04-17","MNPCA"
"2003-04-14","MNPCA"
"2003-04-14","MNDNR-LLMMP"
"2004-04-12","MNDNR-LLMMP"
"2004-04-12","MNPCA"
"2005-04-11","MNDNR-LLMMP"
"2005-04-11","MNPCA"
"2006-04-12","MNPCA"
"2006-04-12","MNDNR-LLMMP"
"2007-04-21","MNPCA"
"2007-04-21","MNDNR-LLMMP"
"2008-05-02","MNDNR-LLMMP"
"2008-05-02","MNPCA"
"2010-04-02","MNDNR-LLMMP"
"2011-04-26","MNDNR-LLMMP"
"2011-04-26","MNDNR-LLMMP"
"2012-03-25","MNDNR-LLMMP"
"2013-05-10","MNDNR-LLMMP"
"2014-04-27","MNDNR-SCO"
"2014-04-27","MNDNR-LLMMP"
"2015-04-13","MNPCA"
"2017-04-05","MNPCA"
"2017-04-05","MNDNR-LLMMP"
"2018-05-01","MNDNR-SCO"
"2019-04-24","MNPCA"
"2022-05-07","MNPCA"
