"Name: Owl"
"ID: 29007300"
"Ice Out Date","Source"
"2009-04-23","MNDNR-SCO"
"2010-03-29","MNDNR-SCO"
"2011-04-15","MNDNR-SCO"
"2012-03-23","MNDNR-SCO"
"2013-05-06","MNDNR-SCO"
"2014-04-21","MNDNR-SCO"
"2015-04-11","MNPCA"
"2015-04-11","MNDNR-SCO"
"2016-03-29","MNPCA"
"2016-03-29","MNDNR-SCO"
"2017-04-03","MNDNR-SCO"
"2017-04-03","MNPCA"
"2018-04-29","MNPCA"
"2018-04-29","MNDNR-SCO"
"2019-04-21","MNDNR-SCO"
"2020-04-19","MNDNR-SCO"
"2020-04-19","MNPCA"
"2021-04-04","MNDNR-SCO"
"2022-05-05","MNPCA"
