"Name: Kabekona"
"ID: 29007500"
"Ice Out Date","Source"
"1904-05-10","MNDNR-SCO"
"1904-05-10","MNDNR-LAKESDB"
"1905-04-27","MNDNR-SCO"
"1906-04-23","MNDNR-LAKESDB"
"1906-04-23","MNDNR-SCO"
"1907-05-11","MNDNR-LAKESDB"
"1907-05-11","MNDNR-SCO"
"1908-04-23","MNDNR-SCO"
"1909-05-18","MNDNR-SCO"
"1910-03-30","MNDNR-SCO"
"1911-04-20","MNDNR-SCO"
"1912-04-21","MNDNR-LAKESDB"
"1912-04-21","MNDNR-SCO"
"1913-04-24","MNDNR-SCO"
"1914-04-30","MNDNR-SCO"
"1914-04-30","MNDNR-LAKESDB"
"1915-04-19","MNDNR-SCO"
"1916-04-30","MNDNR-SCO"
"1916-04-30","MNDNR-LAKESDB"
"1917-04-08","MNDNR-SCO"
"1918-04-20","MNDNR-SCO"
"1919-05-05","MNDNR-SCO"
"1921-04-20","MNDNR-SCO"
"1923-05-01","MNDNR-LAKESDB"
"1923-05-01","MNDNR-SCO"
"1925-04-13","MNDNR-SCO"
"1927-04-25","MNDNR-SCO"
"1929-04-22","MNDNR-SCO"
"1931-04-15","MNDNR-LAKESDB"
"1931-04-15","MNDNR-SCO"
"1932-04-23","MNDNR-SCO"
"1976-04-14","MNDNR-SCO"
"1979-05-04","MNDNR-SCO"
"1980-04-23","MNDNR-SCO"
"1983-04-26","MNDNR-SCO"
"1984-04-21","MNDNR-SCO"
"1985-04-27","MNDNR-SCO"
"1987-04-14","MNDNR-SCO"
"1988-04-25","MNDNR-SCO"
"1989-05-03","MNDNR-SCO"
"1990-04-24","MNDNR-SCO"
"1991-04-22","MNDNR-SCO"
"1992-04-19","MNDNR-SCO"
"1993-04-23","MNDNR-SCO"
"1997-04-24","MNDNR-SCO"
"1999-04-21","MNDNR-SCO"
"2002-04-17","MNPCA"
"2003-04-22","MNPCA"
"2004-04-19","MNPCA"
"2005-04-14","MNPCA"
"2006-04-13","MNPCA"
"2007-04-25","MNPCA"
"2008-05-09","MNPCA"
"2010-04-03","MNDNR-LLMMP"
"2011-04-27","MNDNR-LLMMP"
"2012-03-24","MNDNR-LLMMP"
"2015-04-15","MNDNR-LLMMP"
"2016-04-16","MNDNR-LLMMP"
"2017-04-12","MNDNR-SCO"
"2017-04-12","MNDNR-LLMMP"
"2019-04-28","MNDNR-SCO"
"2019-04-29","MNPCA"
"2019-04-29","MNDNR-LLMMP"
"2020-04-27","MNDNR-LLMMP"
"2020-04-27","MNDNR-SCO"
