"Name: Upper Bottle"
"ID: 29014800"
"Ice Out Date","Source"
"1994-04-18","MNDNR-SCO"
"2007-04-22","MNPCA"
"2007-04-23","MNDNR-LAKESDB"
"2008-05-05","MNPCA"
"2009-04-24","MNDNR-LLMMP"
"2010-04-02","MNDNR-LLMMP"
"2011-04-27","MNDNR-SCO"
"2011-04-27","MNDNR-LLMMP"
"2012-03-27","MNDNR-SCO"
"2013-05-11","MNDNR-SCO"
"2013-05-12","MNDNR-LLMMP"
"2014-04-28","MNPCA"
"2014-05-01","MNDNR-LLMMP"
"2015-04-13","MNPCA"
"2015-04-13","MNDNR-SCO"
"2015-04-13","MNDNR-LLMMP"
"2016-04-05","MNDNR-LLMMP"
"2017-04-05","MNPCA"
"2017-04-05","MNDNR-SCO"
"2018-05-01","MNDNR-SCO"
"2019-04-25","MNPCA"
"2019-04-25","MNDNR-SCO"
"2020-04-25","MNDNR-SCO"
"2021-04-04","MNDNR-SCO"
"2022-05-07","MNPCA"
