"Name: Fish Hook"
"ID: 29024200"
"Ice Out Date","Source"
"1983-04-24","MNDNR-SCO"
"1983-04-24","MNDNR-LAKESDB"
"1995-04-27","MNPCA"
"2007-04-22","MNPCA"
"2011-04-28","MNDNR-SCO"
"2011-04-29","MNDNR-LLMMP"
"2012-03-26","MNDNR-SCO"
"2013-05-11","MNDNR-SCO"
"2015-04-13","MNPCA"
"2016-04-08","MNDNR-SCO"
"2017-04-07","MNPCA"
"2017-04-07","MNDNR-LLMMP"
"2018-05-04","MNPCA"
"2019-04-25","MNDNR-LLMMP"
"2019-04-27","MNPCA"
"2020-04-25","MNDNR-LLMMP"
"2020-04-25","MNPCA"
"2021-04-04","MNDNR-SCO"
"2022-05-07","MNPCA"
