"Name: Potato"
"ID: 29024300"
"Ice Out Date","Source"
"1983-04-24","MNDNR-LAKESDB"
"1983-04-24","MNDNR-SCO"
"1999-04-24","MNPCA"
"2002-04-16","MNPCA"
"2002-04-19","MNPCA"
"2003-04-16","MNPCA"
"2003-04-16","MNPCA"
"2005-04-17","MNPCA"
"2006-04-14","MNDNR-LAKESDB"
"2007-04-24","MNPCA"
"2008-05-07","MNPCA"
"2008-05-07","MNPCA"
"2008-05-08","MNDNR-LAKESDB"
"2009-04-26","MNDNR-LLMMP"
"2011-04-29","MNDNR-SCO"
"2012-03-26","MNDNR-LLMMP"
"2012-03-27","MNDNR-SCO"
"2013-05-13","MNDNR-LLMMP"
"2014-05-04","MNDNR-LLMMP"
"2015-04-12","MNPCA"
"2015-04-13","MNDNR-LLMMP"
"2016-04-08","MNDNR-SCO"
"2017-04-07","MNDNR-SCO"
"2018-05-03","MNDNR-LLMMP"
"2019-04-25","MNDNR-SCO"
"2020-04-26","MNDNR-SCO"
"2021-04-04","MNDNR-SCO"
"2022-05-07","MNDNR-SCO"
