"Name: Portage"
"ID: 29025000"
"Ice Out Date","Source"
"1974-04-26","MNPCA"
"1975-05-05","MNPCA"
"1976-04-12","MNPCA"
"1977-04-17","MNPCA"
"1978-04-27","MNPCA"
"1979-05-05","MNPCA"
"1980-04-20","MNPCA"
"1981-04-06","MNPCA"
"1982-04-25","MNPCA"
"1983-04-20","MNPCA"
"1983-04-20","MNDNR-SCO"
"1984-04-16","MNPCA"
"1985-04-21","MNDNR-SCO"
"1985-04-21","MNPCA"
"1986-04-12","MNPCA"
"1987-04-10","MNPCA"
"1987-04-10","MNDNR-SCO"
"1988-04-16","MNDNR-SCO"
"1988-04-16","MNPCA"
"1989-04-25","MNPCA"
"1989-04-25","MNDNR-SCO"
"1990-04-22","MNPCA"
"1990-04-22","MNDNR-SCO"
"1991-04-10","MNDNR-SCO"
"1991-04-10","MNPCA"
"1992-04-06","MNDNR-SCO"
"1992-04-06","MNPCA"
"1993-04-18","MNPCA"
"1994-04-18","MNPCA"
"1994-04-18","MNDNR-SCO"
"1995-04-21","MNDNR-SCO"
"1995-04-21","MNPCA"
"1996-05-03","MNPCA"
"1996-05-03","MNDNR-SCO"
"1997-04-23","MNPCA"
"1998-04-08","MNDNR-SCO"
"1998-04-08","MNPCA"
"1999-04-14","MNDNR-SCO"
"1999-04-14","MNPCA"
"2000-04-05","MNPCA"
"2001-04-25","MNPCA"
"2002-04-16","MNPCA"
"2003-04-15","MNPCA"
"2004-04-15","MNPCA"
"2005-04-10","MNPCA"
"2006-04-12","MNDNR-LLMMP"
"2007-04-21","MNPCA"
"2008-05-03","MNPCA"
"2008-05-03","MNPCA"
"2009-04-22","MNDNR-SCO"
"2010-04-01","MNDNR-SCO"
"2011-04-26","MNDNR-LLMMP"
"2012-03-26","MNDNR-SCO"
"2013-05-09","MNDNR-LLMMP"
"2013-05-09","MNDNR-SCO"
"2014-04-24","MNDNR-SCO"
"2014-04-25","MNDNR-LLMMP"
"2015-04-11","MNDNR-SCO"
"2015-04-12","MNPCA"
"2015-04-12","MNDNR-LLMMP"
"2016-03-30","MNDNR-SCO"
"2016-04-12","MNDNR-LLMMP"
"2017-04-07","MNDNR-LLMMP"
"2017-04-07","MNPCA"
"2018-04-30","MNPCA"
"2018-05-01","MNDNR-SCO"
"2019-04-24","MNPCA"
"2019-04-24","MNDNR-SCO"
"2020-04-18","MNDNR-SCO"
"2021-04-03","MNDNR-LLMMP"
