"Name: Mary"
"ID: 29028900"
"Ice Out Date","Source"
"1988-04-17","MNPCA"
"1989-04-29","MNPCA"
"1990-04-24","MNPCA"
"1991-04-13","MNPCA"
"1992-04-11","MNPCA"
"1993-04-18","MNPCA"
"1994-04-18","MNPCA"
"1995-04-24","MNPCA"
"1996-05-05","MNPCA"
"1998-04-11","MNPCA"
"1999-04-14","MNPCA"
"2000-04-06","MNPCA"
"2001-04-27","MNPCA"
"2002-04-18","MNPCA"
"2003-04-16","MNPCA"
"2004-04-19","MNPCA"
"2012-03-23","MNDNR-SCO"
"2013-05-12","MNDNR-SCO"
"2014-04-30","MNDNR-SCO"
"2015-04-14","MNDNR-SCO"
"2016-04-01","MNDNR-SCO"
"2017-04-06","MNDNR-SCO"
"2018-04-30","MNDNR-SCO"
"2018-04-30","MNPCA"
"2019-04-25","MNDNR-SCO"
"2020-04-26","MNDNR-SCO"
"2021-04-05","MNDNR-SCO"
"2022-05-07","MNDNR-SCO"
