"Name: Florence"
"ID: 30003500"
"Ice Out Date","Source"
"2007-04-16","MNPCA"
"2010-03-29","MNDNR-LLMMP"
"2011-04-12","MNDNR-LLMMP"
"2012-03-19","MNDNR-LLMMP"
"2013-05-02","MNDNR-LLMMP"
"2015-03-29","MNDNR-LLMMP"
"2016-03-16","MNPCA"
"2017-03-27","MNPCA"
"2017-03-27","MNDNR-LLMMP"
"2018-04-30","MNPCA"
"2018-04-30","MNDNR-LLMMP"
"2019-04-16","MNDNR-SCO"
"2019-04-16","MNDNR-LLMMP"
"2019-04-16","MNPCA"
"2020-04-02","MNDNR-LLMMP"
"2020-04-02","MNPCA"
"2021-03-24","MNDNR-LLMMP"
"2022-04-12","MNDNR-LLMMP"
"2022-04-12","MNPCA"
