"Name: Beatrice"
"ID: 31005800"
"Ice Out Date","Source"
"1992-04-27","MNPCA"
"1993-04-20","MNPCA"
"1994-04-18","MNPCA"
"1995-04-23","MNPCA"
"1996-05-07","MNPCA"
"1997-04-26","MNPCA"
"1998-04-10","MNPCA"
"1999-04-16","MNPCA"
"2000-03-31","MNPCA"
"2001-04-28","MNPCA"
"2002-04-18","MNPCA"
"2003-04-20","MNPCA"
"2004-04-19","MNPCA"
"2005-04-13","MNPCA"
"2006-04-12","MNDNR-LAKESDB"
"2006-04-12","MNPCA"
"2007-04-21","MNPCA"
"2008-05-03","MNPCA"
"2009-04-23","MNDNR-LLMMP"
"2011-04-24","MNDNR-LLMMP"
"2012-03-25","MNDNR-LLMMP"
"2013-05-10","MNDNR-SCO"
"2013-05-10","MNDNR-LLMMP"
"2014-05-05","MNDNR-LLMMP"
"2015-04-12","MNDNR-LLMMP"
"2015-04-12","MNPCA"
"2016-04-17","MNDNR-LLMMP"
"2017-04-08","MNDNR-LLMMP"
"2018-05-03","MNDNR-LLMMP"
"2020-04-23","MNDNR-LLMMP"
"2021-04-05","MNDNR-LLMMP"
