"Name: Unnamed"
"ID: 31006100"
"Ice Out Date","Source"
"1980-04-20","MNPCA"
"1981-04-09","MNPCA"
"1984-04-17","MNPCA"
"1987-04-06","MNPCA"
"1988-04-17","MNPCA"
"1989-04-24","MNPCA"
"1990-04-21","MNPCA"
"1991-04-09","MNPCA"
"1992-04-20","MNPCA"
"1993-04-18","MNPCA"
"1994-04-17","MNPCA"
"1995-04-17","MNPCA"
"1996-05-04","MNPCA"
"1997-04-22","MNPCA"
"1998-04-06","MNPCA"
"1999-04-13","MNPCA"
"2000-03-25","MNPCA"
"2001-04-27","MNPCA"
"2002-04-17","MNPCA"
"2003-04-20","MNPCA"
"2004-04-17","MNPCA"
"2005-04-12","MNPCA"
"2006-04-12","MNPCA"
"2007-04-20","MNPCA"
"2008-04-29","MNPCA"
"2015-04-10","MNPCA"
"2018-05-02","MNPCA"
"2019-04-24","MNPCA"
"2020-04-20","MNPCA"
"2022-05-07","MNPCA"
