"Name: Wabana"
"ID: 31039200"
"Ice Out Date","Source"
"2000-04-09","MNPCA"
"2001-04-28","MNPCA"
"2002-04-23","MNPCA"
"2002-04-23","MNPCA"
"2003-04-25","MNPCA"
"2003-04-25","MNPCA"
"2003-04-25","MNPCA"
"2004-04-22","MNPCA"
"2004-04-22","MNPCA"
"2004-04-23","MNPCA"
"2004-04-23","MNPCA"
"2005-04-16","MNPCA"
"2005-04-17","MNPCA"
"2005-04-17","MNPCA"
"2006-04-14","MNPCA"
"2007-04-25","MNPCA"
"2007-04-25","MNPCA"
"2007-04-26","MNPCA"
"2008-05-06","MNPCA"
"2008-05-06","MNPCA"
"2008-05-07","MNPCA"
"2014-05-09","MNDNR-SCO"
"2017-04-10","MNPCA"
"2018-05-07","MNPCA"
"2019-05-03","MNPCA"
"2020-04-26","MNPCA"
"2022-05-07","MNPCA"
