"Name: Trout"
"ID: 31041000"
"Ice Out Date","Source"
"1957-04-28","MNPCA"
"1960-04-29","MNPCA"
"1964-04-28","MNPCA"
"1965-05-02","MNPCA"
"1966-05-16","MNPCA"
"1967-04-19","MNPCA"
"1968-04-17","MNPCA"
"1969-04-23","MNPCA"
"1970-05-01","MNPCA"
"1971-04-18","MNPCA"
"1972-05-01","MNPCA"
"1973-04-17","MNPCA"
"1974-04-19","MNPCA"
"1975-05-05","MNPCA"
"1976-05-03","MNPCA"
"1977-04-21","MNPCA"
"1978-04-29","MNPCA"
"1979-05-07","MNPCA"
"1980-04-24","MNPCA"
"1981-04-16","MNPCA"
"1982-05-01","MNPCA"
"1983-04-26","MNPCA"
"1984-04-22","MNPCA"
"1985-04-22","MNPCA"
"1986-04-15","MNPCA"
"1987-04-15","MNPCA"
"1988-04-29","MNPCA"
"1989-05-03","MNPCA"
"1990-04-26","MNPCA"
"1991-04-21","MNPCA"
"1992-04-29","MNPCA"
"1993-04-28","MNPCA"
"1995-04-25","MNPCA"
"1996-05-14","MNPCA"
"1997-04-27","MNPCA"
"1998-04-13","MNPCA"
"1999-04-26","MNPCA"
"2000-04-14","MNPCA"
"2001-04-29","MNPCA"
"2002-04-24","MNPCA"
"2003-04-25","MNPCA"
"2005-04-18","MNPCA"
"2008-05-05","MNPCA"
"2018-05-08","MNPCA"
"2020-04-26","MNPCA"
"2022-05-10","MNPCA"
