"Name: Deer"
"ID: 31071900"
"Ice Out Date","Source"
"1987-04-15","MNPCA"
"1988-04-26","MNPCA"
"1995-04-29","MNPCA"
"1996-05-15","MNPCA"
"1997-04-28","MNPCA"
"1998-04-13","MNPCA"
"2001-04-29","MNPCA"
"2002-04-24","MNPCA"
"2002-04-25","MNPCA"
"2003-04-25","MNPCA"
"2003-04-26","MNPCA"
"2004-04-24","MNPCA"
"2005-04-17","MNPCA"
"2005-04-19","MNPCA"
"2006-04-13","MNPCA"
"2006-04-14","MNPCA"
"2006-04-14","MNPCA"
"2007-04-27","MNPCA"
"2007-04-27","MNPCA"
"2008-05-03","MNPCA"
"2008-05-07","MNPCA"
"2008-05-08","MNPCA"
"2013-05-18","MNDNR-LLMMP"
"2014-05-10","MNDNR-SCO"
"2014-05-10","MNPCA"
"2014-05-16","MNDNR-LLMMP"
"2015-04-18","MNPCA"
"2017-04-08","MNDNR-LLMMP"
"2017-04-13","MNPCA"
"2018-05-08","MNPCA"
"2019-05-04","MNPCA"
"2020-04-27","MNPCA"
"2020-04-27","MNDNR-LLMMP"
