"Name: Green"
"ID: 34007900"
"Ice Out Date","Source"
"1897-04-18","MNPCA"
"1897-04-18","MNDNR-SCO"
"1904-04-28","MNPCA"
"1904-04-28","MNDNR-SCO"
"1915-04-17","MNDNR-SCO"
"1915-04-17","MNPCA"
"1917-05-01","MNDNR-SCO"
"1917-05-01","MNPCA"
"1924-04-14","MNPCA"
"1924-04-14","MNDNR-SCO"
"1932-04-16","MNPCA"
"1932-04-16","MNDNR-SCO"
"1933-04-20","MNDNR-SCO"
"1933-04-20","MNPCA"
"1934-04-05","MNPCA"
"1934-04-05","MNDNR-SCO"
"1935-04-12","MNDNR-SCO"
"1935-04-12","MNPCA"
"1940-04-26","MNDNR-LAKESDB"
"1940-04-26","MNPCA"
"1940-04-26","MNDNR-SCO"
"1941-04-12","MNPCA"
"1941-04-12","MNDNR-SCO"
"1941-04-12","MNDNR-LAKESDB"
"1942-04-14","MNDNR-LAKESDB"
"1942-04-14","MNDNR-SCO"
"1942-04-14","MNPCA"
"1943-04-13","MNDNR-LAKESDB"
"1943-04-13","MNDNR-SCO"
"1943-04-13","MNPCA"
"1944-04-18","MNDNR-SCO"
"1944-04-18","MNDNR-LAKESDB"
"1944-04-18","MNPCA"
"1945-04-16","MNPCA"
"1945-04-16","MNDNR-LAKESDB"
"1945-04-16","MNDNR-SCO"
"1946-04-17","MNPCA"
"1946-04-17","MNDNR-LAKESDB"
"1946-04-17","MNDNR-SCO"
"1947-04-16","MNDNR-LAKESDB"
"1947-04-16","MNPCA"
"1947-04-16","MNDNR-SCO"
"1948-04-16","MNPCA"
"1948-04-16","MNDNR-SCO"
"1948-04-16","MNDNR-LAKESDB"
"1949-04-14","MNDNR-SCO"
"1949-04-14","MNDNR-LAKESDB"
"1949-04-14","MNPCA"
"1950-05-05","MNPCA"
"1950-05-05","MNDNR-LAKESDB"
"1950-05-05","MNDNR-SCO"
"1951-05-07","MNPCA"
"1951-05-07","MNDNR-LAKESDB"
"1951-05-07","MNDNR-SCO"
"1952-04-26","MNDNR-SCO"
"1952-04-26","MNPCA"
"1953-04-15","MNPCA"
"1953-04-15","MNDNR-SCO"
"1954-04-16","MNPCA"
"1954-04-16","MNDNR-SCO"
"1955-04-11","MNDNR-SCO"
"1955-04-11","MNPCA"
"1956-04-25","MNPCA"
"1956-04-25","MNDNR-SCO"
"1957-04-24","MNDNR-SCO"
"1957-04-24","MNPCA"
"1958-04-13","MNDNR-SCO"
"1958-04-13","MNPCA"
"1959-04-07","MNDNR-SCO"
"1959-04-07","MNPCA"
"1960-04-19","MNPCA"
"1960-04-19","MNDNR-SCO"
"1961-04-13","MNDNR-SCO"
"1961-04-13","MNPCA"
"1962-05-01","MNDNR-SCO"
"1962-05-01","MNPCA"
"1963-04-12","MNDNR-SCO"
"1963-04-12","MNPCA"
"1964-04-17","MNDNR-SCO"
"1964-04-17","MNPCA"
"1965-05-02","MNDNR-SCO"
"1965-05-02","MNPCA"
"1966-04-05","MNDNR-SCO"
"1966-04-05","MNPCA"
