"Name: Bronson"
"ID: 35000300"
"Ice Out Date","Source"
"1984-04-14","MNDNR-SCO"
"1987-04-11","MNDNR-LAKESDB"
"1987-04-11","MNDNR-SCO"
"1988-04-19","MNDNR-LAKESDB"
"1988-04-19","MNDNR-SCO"
"1989-04-22","MNDNR-SCO"
"1989-04-22","MNDNR-LAKESDB"
"1990-04-22","MNDNR-LAKESDB"
"1990-04-22","MNDNR-SCO"
"1991-04-11","MNDNR-LAKESDB"
"1991-04-11","MNDNR-SCO"
"1992-04-08","MNDNR-SCO"
"1992-04-08","MNDNR-LAKESDB"
"1993-04-12","MNDNR-LAKESDB"
"1993-04-12","MNDNR-SCO"
"1994-04-17","MNDNR-LAKESDB"
"1994-04-17","MNDNR-SCO"
"1995-04-18","MNDNR-SCO"
"1995-04-18","MNDNR-LAKESDB"
"1996-04-27","MNDNR-LAKESDB"
"1996-04-27","MNDNR-SCO"
"1997-04-22","MNDNR-LAKESDB"
"1997-04-22","MNDNR-SCO"
"1998-04-10","MNDNR-LAKESDB"
"1998-04-10","MNDNR-SCO"
"1999-04-10","MNDNR-SCO"
"1999-04-10","MNDNR-LAKESDB"
"2000-04-01","MNDNR-SCO"
"2001-04-13","MNDNR-SCO"
"2002-04-18","MNDNR-SCO"
"2003-04-17","MNDNR-SCO"
"2004-04-09","MNDNR-SCO"
"2005-04-08","MNDNR-SCO"
"2006-04-10","MNDNR-SCO"
"2007-04-22","MNDNR-SCO"
"2008-04-24","MNDNR-SCO"
"2009-04-12","MNDNR-SCO"
"2010-04-03","MNDNR-SCO"
"2011-04-13","MNDNR-SCO"
"2012-03-24","MNDNR-SCO"
"2013-04-30","MNDNR-SCO"
"2014-04-24","MNDNR-SCO"
"2015-04-16","MNDNR-SCO"
"2016-04-09","MNDNR-SCO"
"2017-04-07","MNDNR-SCO"
"2018-04-25","MNDNR-SCO"
"2019-04-21","MNDNR-SCO"
"2020-04-25","MNDNR-SCO"
"2021-04-05","MNDNR-SCO"
"2022-05-04","MNDNR-SCO"
