"Name: Lake of the Woods"
"ID: 39000200"
"Ice Out Date","Source"
"1985-05-02","MNDNR-SCO"
"1988-05-03","MNDNR-LAKESDB"
"1988-05-03","MNDNR-SCO"
"1989-05-05","MNDNR-SCO"
"1989-05-05","MNDNR-LAKESDB"
"1991-04-22","MNDNR-LAKESDB"
"1991-04-22","MNDNR-SCO"
"1992-05-02","MNDNR-LAKESDB"
"1992-05-02","MNDNR-SCO"
"1993-04-25","MNDNR-SCO"
"1993-04-25","MNDNR-LAKESDB"
"1994-04-29","MNDNR-SCO"
"1994-04-29","MNDNR-LAKESDB"
"1995-05-05","MNDNR-LAKESDB"
"1995-05-05","MNDNR-SCO"
"1996-05-16","MNDNR-SCO"
"1996-05-16","MNDNR-LAKESDB"
"1998-04-16","MNDNR-SCO"
"1998-04-16","MNDNR-LAKESDB"
"1999-05-01","MNDNR-LAKESDB"
"1999-05-01","MNDNR-SCO"
"2000-04-08","MNDNR-SCO"
"2001-05-01","MNDNR-SCO"
"2002-05-03","MNDNR-SCO"
"2003-05-06","MNDNR-SCO"
"2004-04-28","MNDNR-SCO"
"2005-04-23","MNDNR-SCO"
"2006-04-20","MNDNR-SCO"
"2007-05-03","MNDNR-SCO"
"2008-05-12","MNDNR-SCO"
"2009-05-08","MNDNR-SCO"
"2010-04-13","MNDNR-SCO"
"2011-05-05","MNDNR-SCO"
"2011-05-05","MNDNR-SCO"
"2012-04-08","MNDNR-SCO"
"2013-05-15","MNDNR-SCO"
"2014-05-21","MNDNR-SCO"
"2015-05-03","MNDNR-SCO"
"2016-05-04","MNDNR-SCO"
"2017-04-24","MNDNR-SCO"
"2018-05-14","MNDNR-SCO"
"2019-05-14","MNDNR-SCO"
"2020-05-02","MNDNR-SCO"
"2021-04-23","MNDNR-SCO"
"2022-05-16","MNDNR-SCO"
