"Name: Frances"
"ID: 40005700"
"Ice Out Date","Source"
"1905-04-01","MNDNR-LLMMP"
"2000-03-08","MNDNR-LLMMP"
"2002-04-05","MNPCA"
"2006-04-05","MNDNR-LAKESDB"
"2007-03-27","MNPCA"
"2008-04-15","MNDNR-LAKESDB"
"2008-04-17","MNPCA"
"2008-04-18","MNPCA"
"2008-04-18","MNPCA"
"2009-03-24","MNDNR-LLMMP"
"2012-03-17","MNDNR-LLMMP"
"2013-04-22","MNDNR-LLMMP"
"2013-04-22","MNDNR-SCO"
"2014-04-16","MNPCA"
"2015-03-23","MNDNR-SCO"
"2016-03-16","MNDNR-SCO"
"2016-03-16","MNDNR-LLMMP"
"2017-03-24","MNDNR-SCO"
"2017-03-24","MNDNR-LLMMP"
"2018-04-30","MNDNR-SCO"
"2018-04-30","MNDNR-LLMMP"
"2019-04-08","MNDNR-SCO"
"2019-04-08","MNDNR-LLMMP"
"2020-04-01","MNDNR-LLMMP"
"2020-04-01","MNDNR-SCO"
"2021-03-29","MNDNR-LLMMP"
"2022-04-08","MNDNR-SCO"
