"Name: Middle Jefferson"
"ID: 40009204"
"Ice Out Date","Source"
"1978-04-07","MNPCA"
"1979-04-18","MNPCA"
"1980-04-12","MNPCA"
"1981-03-14","MNPCA"
"1982-04-02","MNPCA"
"1983-04-03","MNPCA"
"1984-04-12","MNPCA"
"1985-04-03","MNPCA"
"1986-04-03","MNPCA"
"1987-03-08","MNPCA"
"1988-03-28","MNPCA"
"1989-04-08","MNPCA"
"1990-03-16","MNPCA"
"1991-04-04","MNPCA"
"1992-04-05","MNPCA"
"1993-04-15","MNPCA"
"1994-04-02","MNPCA"
"1995-03-24","MNPCA"
"1996-04-14","MNPCA"
"1997-04-05","MNPCA"
"1998-03-28","MNPCA"
"1999-03-27","MNPCA"
"2000-03-07","MNPCA"
"2001-04-14","MNPCA"
"2002-04-07","MNPCA"
"2003-03-26","MNPCA"
"2004-03-28","MNPCA"
"2004-03-29","MNPCA"
"2005-04-04","MNPCA"
"2005-04-06","MNPCA"
"2006-04-05","MNPCA"
"2007-03-27","MNPCA"
"2007-03-27","MNPCA"
"2008-04-16","MNPCA"
"2020-03-29","MNDNR-SCO"
"2021-03-24","MNDNR-SCO"
