"Name: Washington"
"ID: 40011700"
"Ice Out Date","Source"
"1950-04-18","MNPCA"
"1951-04-18","MNPCA"
"1953-04-03","MNPCA"
"1954-03-18","MNPCA"
"1955-04-06","MNPCA"
"1956-04-13","MNPCA"
"1957-04-04","MNPCA"
"1958-04-03","MNPCA"
"1959-04-05","MNPCA"
"1960-04-10","MNPCA"
"1961-04-07","MNPCA"
"1962-04-24","MNPCA"
"1963-04-01","MNPCA"
"1964-04-07","MNPCA"
"1965-04-27","MNPCA"
"1966-03-17","MNPCA"
"1967-04-03","MNPCA"
"1968-03-26","MNPCA"
"1969-04-13","MNPCA"
"1970-04-16","MNPCA"
"1971-04-11","MNPCA"
"1972-04-17","MNPCA"
"1973-03-27","MNPCA"
"1974-04-07","MNPCA"
"1975-04-24","MNPCA"
"1976-03-26","MNPCA"
"1977-03-28","MNPCA"
"1978-04-06","MNPCA"
"1979-04-19","MNPCA"
"1980-04-11","MNPCA"
"1981-03-08","MNDNR-SCO"
"1981-03-15","MNPCA"
"1982-03-09","MNPCA"
"1983-04-03","MNPCA"
"1984-04-11","MNPCA"
"1985-04-04","MNPCA"
"1986-04-03","MNPCA"
"1987-03-08","MNPCA"
"1988-03-30","MNPCA"
"1989-04-07","MNPCA"
"1990-03-15","MNPCA"
"1991-04-06","MNPCA"
"1992-04-05","MNPCA"
"1993-04-16","MNPCA"
"1994-04-01","MNPCA"
"1995-03-19","MNPCA"
"1996-04-15","MNPCA"
"1997-04-06","MNPCA"
"1998-03-29","MNPCA"
"1999-03-27","MNPCA"
"2000-03-08","MNPCA"
"2001-04-15","MNPCA"
"2002-04-06","MNPCA"
"2003-03-27","MNPCA"
"2004-04-06","MNPCA"
"2005-04-04","MNPCA"
"2006-04-03","MNPCA"
"2007-03-28","MNPCA"
"2008-04-15","MNPCA"
"2009-03-24","MNDNR-SCO"
"2012-03-14","MNDNR-SCO"
"2014-04-14","MNDNR-SCO"
"2015-03-17","MNDNR-SCO"
"2016-03-13","MNDNR-SCO"
"2016-03-14","MNPCA"
"2017-03-10","MNPCA"
"2018-04-29","MNDNR-SCO"
"2018-04-30","MNPCA"
"2019-04-06","MNDNR-LLMMP"
"2019-04-06","MNPCA"
"2020-03-29","MNDNR-SCO"
"2020-03-29","MNPCA"
"2022-04-04","MNDNR-LLMMP"
"2022-04-06","MNDNR-SCO"
"2022-04-06","MNPCA"
