"Name: Shaokotan"
"ID: 41008900"
"Ice Out Date","Source"
"2002-04-10","MNPCA"
"2003-03-31","MNPCA"
"2005-04-01","MNPCA"
"2007-03-27","MNPCA"
"2008-03-24","MNDNR-SCO"
"2008-04-16","MNPCA"
"2010-04-01","MNDNR-LLMMP"
"2010-04-01","MNDNR-SCO"
"2011-04-13","MNDNR-SCO"
"2012-03-13","MNDNR-SCO"
"2013-04-29","MNDNR-SCO"
"2014-04-13","MNDNR-SCO"
"2014-04-13","MNPCA"
"2014-04-13","MNDNR-LLMMP"
"2015-03-17","MNDNR-LLMMP"
"2015-03-17","MNDNR-SCO"
"2016-03-13","MNDNR-SCO"
"2016-03-13","MNPCA"
"2017-03-06","MNDNR-SCO"
"2018-04-30","MNPCA"
"2018-04-30","MNDNR-SCO"
"2019-04-19","MNDNR-SCO"
"2019-11-07","MNPCA"
"2020-04-02","MNPCA"
"2020-04-02","MNDNR-SCO"
"2021-03-22","MNDNR-SCO"
"2022-04-05","MNPCA"
"2022-04-05","MNDNR-SCO"
