"Name: Hendricks"
"ID: 41011000"
"Ice Out Date","Source"
"1996-04-18","MNDNR-LAKESDB"
"1996-04-18","MNDNR-SCO"
"2002-04-07","MNPCA"
"2008-04-16","MNPCA"
"2008-04-17","MNDNR-SCO"
"2012-03-14","MNDNR-SCO"
"2013-04-28","MNDNR-SCO"
"2014-04-13","MNDNR-SCO"
"2015-03-20","MNDNR-SCO"
"2015-03-21","MNPCA"
"2016-03-13","MNPCA"
"2016-03-14","MNDNR-SCO"
"2017-03-24","MNDNR-SCO"
"2018-04-30","MNDNR-SCO"
"2019-04-13","MNDNR-SCO"
"2020-04-03","MNPCA"
"2020-04-03","MNDNR-SCO"
"2021-03-21","MNDNR-SCO"
"2022-04-05","MNDNR-SCO"
"2022-04-05","MNPCA"
