"Name: South Silver"
"ID: 46002000"
"Ice Out Date","Source"
"1996-04-06","MNDNR-SCO"
"2003-03-03","MNPCA"
"2005-03-29","MNPCA"
"2007-03-27","MNPCA"
"2008-04-15","MNPCA"
"2008-05-05","MNPCA"
"2012-03-09","MNDNR-LLMMP"
"2012-03-15","MNDNR-SCO"
"2013-04-09","MNDNR-SCO"
"2014-04-09","MNDNR-SCO"
"2016-03-12","MNDNR-SCO"
"2017-03-21","MNPCA"
"2017-03-21","MNDNR-SCO"
"2018-04-29","MNDNR-SCO"
"2019-04-02","MNDNR-SCO"
"2019-04-03","MNPCA"
"2020-03-22","MNDNR-SCO"
"2020-03-28","MNPCA"
"2021-03-22","MNDNR-SCO"
"2022-03-25","MNDNR-SCO"
