"Name: Sisseton"
"ID: 46002500"
"Ice Out Date","Source"
"1935-03-19","MNDNR-SCO"
"1936-04-12","MNDNR-SCO"
"1937-04-11","MNDNR-SCO"
"1938-03-23","MNDNR-SCO"
"1939-03-26","MNDNR-SCO"
"1940-04-10","MNDNR-SCO"
"1941-04-09","MNDNR-SCO"
"1942-03-24","MNDNR-SCO"
"1943-04-01","MNDNR-LAKESDB"
"1943-04-01","MNDNR-SCO"
"1944-04-03","MNDNR-SCO"
"1944-04-03","MNDNR-LAKESDB"
"1945-03-21","MNDNR-SCO"
"1945-03-21","MNDNR-LAKESDB"
"1946-03-25","MNDNR-SCO"
"1946-03-25","MNDNR-LAKESDB"
"1947-04-05","MNDNR-LAKESDB"
"1947-04-05","MNDNR-SCO"
"1948-03-28","MNDNR-LAKESDB"
"1948-03-28","MNDNR-SCO"
"1949-04-06","MNDNR-SCO"
"1949-04-06","MNDNR-LAKESDB"
"1950-04-16","MNDNR-SCO"
"1950-04-16","MNDNR-LAKESDB"
"1951-04-26","MNDNR-LAKESDB"
"1951-04-26","MNDNR-SCO"
"1952-04-14","MNDNR-LAKESDB"
"1952-04-14","MNDNR-SCO"
"1953-03-30","MNDNR-SCO"
"1953-03-30","MNDNR-LAKESDB"
"1954-03-23","MNDNR-LAKESDB"
"1954-03-23","MNDNR-SCO"
"1955-04-03","MNDNR-LAKESDB"
"1955-04-03","MNDNR-SCO"
"1956-04-12","MNDNR-LAKESDB"
"1956-04-12","MNDNR-SCO"
"1958-03-31","MNDNR-SCO"
"1958-03-31","MNDNR-LAKESDB"
"1959-04-04","MNDNR-SCO"
"1959-04-04","MNDNR-LAKESDB"
"1960-04-08","MNDNR-LAKESDB"
"1960-04-08","MNDNR-SCO"
"1961-04-06","MNDNR-SCO"
"1961-04-06","MNDNR-LAKESDB"
"1962-04-21","MNDNR-LAKESDB"
"1962-04-21","MNDNR-SCO"
"1963-03-31","MNDNR-LAKESDB"
"1963-03-31","MNDNR-SCO"
"1964-03-17","MNDNR-LAKESDB"
"1964-03-17","MNDNR-SCO"
"1965-04-20","MNDNR-LAKESDB"
"1965-04-20","MNDNR-SCO"
"1966-03-17","MNDNR-SCO"
"1966-03-17","MNDNR-LAKESDB"
"1967-03-30","MNDNR-LAKESDB"
"1967-03-30","MNDNR-SCO"
"1968-03-18","MNDNR-LAKESDB"
"1968-03-18","MNDNR-SCO"
"1969-04-15","MNDNR-SCO"
"1969-04-15","MNDNR-LAKESDB"
"1970-04-15","MNDNR-LAKESDB"
"1970-04-15","MNDNR-SCO"
"1971-04-11","MNDNR-LAKESDB"
"1971-04-11","MNDNR-SCO"
"1972-04-11","MNDNR-SCO"
"1972-04-11","MNDNR-LAKESDB"
"1973-03-25","MNDNR-LAKESDB"
"1973-03-25","MNDNR-SCO"
"1974-04-03","MNDNR-LAKESDB"
"1974-04-03","MNDNR-SCO"
"1975-04-23","MNDNR-LAKESDB"
"1975-04-23","MNDNR-SCO"
"1976-03-24","MNDNR-SCO"
"1976-03-24","MNDNR-LAKESDB"
"1977-03-26","MNDNR-SCO"
"1977-03-26","MNDNR-LAKESDB"
"1978-04-02","MNDNR-LAKESDB"
"1978-04-02","MNDNR-SCO"
"1979-04-20","MNDNR-SCO"
"1979-04-20","MNDNR-LAKESDB"
"1980-04-08","MNDNR-LAKESDB"
"1980-04-08","MNDNR-SCO"
"1982-04-04","MNDNR-LAKESDB"
"1982-04-04","MNDNR-SCO"
"1985-03-28","MNDNR-LAKESDB"
"1985-03-28","MNDNR-SCO"
"1988-03-26","MNDNR-SCO"
"1988-03-26","MNDNR-LAKESDB"
"1989-04-03","MNDNR-LAKESDB"
"1989-04-03","MNDNR-SCO"
"1990-03-13","MNDNR-SCO"
"1991-04-03","MNDNR-LAKESDB"
"1992-03-27","MNDNR-LAKESDB"
"1993-04-15","MNDNR-LAKESDB"
"1994-03-30","MNDNR-LAKESDB"
"1995-03-20","MNDNR-LAKESDB"
"1996-04-09","MNDNR-LAKESDB"
"1997-04-01","MNDNR-LAKESDB"
"1998-03-31","MNDNR-LAKESDB"
"1999-03-27","MNDNR-LAKESDB"
"2014-04-08","MNDNR-SCO"
"2017-03-21","MNDNR-SCO"
"2018-04-29","MNDNR-SCO"
"2019-04-03","MNDNR-SCO"
"2020-03-22","MNDNR-SCO"
"2021-03-21","MNDNR-SCO"
"2022-03-25","MNDNR-SCO"
