"Name: Budd"
"ID: 46003000"
"Ice Out Date","Source"
"1987-03-01","MNDNR-SCO"
"1988-03-26","MNDNR-SCO"
"1990-03-12","MNDNR-SCO"
"1990-03-16","MNPCA"
"1991-04-03","MNDNR-LAKESDB"
"1991-04-03","MNDNR-SCO"
"1991-04-03","MNPCA"
"1992-03-26","MNPCA"
"1992-03-27","MNDNR-LAKESDB"
"1992-03-27","MNDNR-SCO"
"1993-04-15","MNDNR-SCO"
"1993-04-15","MNDNR-LAKESDB"
"1993-04-15","MNPCA"
"1994-03-23","MNDNR-SCO"
"1994-03-25","MNPCA"
"1994-03-30","MNDNR-LAKESDB"
"1995-03-20","MNDNR-SCO"
"1995-03-20","MNDNR-LAKESDB"
"1995-03-20","MNPCA"
"1995-03-30","MNDNR-SCO"
"1996-03-29","MNDNR-SCO"
"1996-04-07","MNPCA"
"1996-04-09","MNDNR-SCO"
"1997-03-29","MNDNR-LAKESDB"
"1997-03-29","MNDNR-SCO"
"1997-04-02","MNPCA"
"1998-03-29","MNDNR-SCO"
"1998-03-31","MNPCA"
"1998-03-31","MNDNR-LAKESDB"
"1998-03-31","MNDNR-SCO"
"1999-03-27","MNDNR-LAKESDB"
"1999-03-27","MNDNR-SCO"
"1999-03-28","MNPCA"
"2000-03-06","MNPCA"
"2000-03-06","MNDNR-SCO"
"2001-04-04","MNPCA"
"2001-04-11","MNDNR-SCO"
"2002-03-28","MNPCA"
"2002-04-01","MNDNR-SCO"
"2003-03-19","MNDNR-SCO"
"2003-03-20","MNPCA"
"2004-03-26","MNDNR-SCO"
"2004-03-26","MNPCA"
"2005-03-30","MNDNR-SCO"
"2005-03-30","MNPCA"
"2006-03-31","MNDNR-SCO"
"2006-04-02","MNPCA"
"2007-03-27","MNDNR-LAKESDB"
"2007-03-27","MNPCA"
"2007-03-27","MNDNR-SCO"
"2008-04-15","MNPCA"
"2008-04-15","MNDNR-LAKESDB"
"2008-04-15","MNDNR-SCO"
"2009-03-23","MNPCA"
"2009-03-24","MNDNR-SCO"
"2010-03-30","MNPCA"
"2010-03-31","MNDNR-SCO"
"2011-04-04","MNPCA"
"2011-04-06","MNDNR-SCO"
"2012-03-15","MNPCA"
"2012-03-15","MNDNR-SCO"
"2013-04-09","MNDNR-SCO"
"2013-04-12","MNPCA"
"2014-04-10","MNDNR-SCO"
"2014-04-10","MNPCA"
"2015-03-19","MNPCA"
"2015-03-20","MNDNR-SCO"
"2016-03-14","MNPCA"
"2016-03-15","MNDNR-SCO"
"2017-03-21","MNDNR-SCO"
"2017-03-21","MNPCA"
"2018-04-29","MNDNR-SCO"
"2018-04-29","MNPCA"
"2019-04-02","MNPCA"
"2019-04-03","MNDNR-SCO"
"2020-03-21","MNPCA"
"2020-03-22","MNDNR-SCO"
"2021-03-22","MNDNR-SCO"
"2022-03-27","MNDNR-SCO"
