"Name: Iowa"
"ID: 46004900"
"Ice Out Date","Source"
"1989-03-27","MNDNR-SCO"
"1992-03-28","MNDNR-SCO"
"1994-03-23","MNDNR-SCO"
"1995-03-20","MNDNR-SCO"
"1996-03-31","MNDNR-SCO"
"1999-03-23","MNDNR-SCO"
"2004-03-20","MNDNR-SCO"
"2005-03-28","MNDNR-SCO"
"2006-04-02","MNDNR-SCO"
"2007-03-25","MNDNR-SCO"
"2008-04-10","MNDNR-SCO"
"2012-03-12","MNDNR-SCO"
"2013-04-08","MNDNR-SCO"
"2014-04-08","MNDNR-SCO"
"2015-03-17","MNDNR-SCO"
"2016-03-11","MNDNR-SCO"
"2017-03-20","MNDNR-SCO"
"2018-04-29","MNDNR-SCO"
"2019-04-02","MNDNR-SCO"
"2020-03-20","MNDNR-SCO"
"2021-03-20","MNDNR-SCO"
"2022-03-23","MNDNR-SCO"
