"Name: Mille Lacs"
"ID: 48000200"
"Ice Out Date","Source"
"1950-05-15","MNDNR-SCO"
"1956-04-20","MNDNR-SCO"
"1957-04-27","MNDNR-LAKESDB"
"1957-04-27","MNDNR-SCO"
"1958-04-19","MNDNR-LAKESDB"
"1958-04-19","MNDNR-SCO"
"1960-04-27","MNDNR-LAKESDB"
"1960-04-27","MNDNR-SCO"
"1961-04-23","MNDNR-SCO"
"1961-04-23","MNDNR-LAKESDB"
"1962-05-02","MNDNR-SCO"
"1962-05-02","MNDNR-LAKESDB"
"1963-04-20","MNDNR-LAKESDB"
"1963-04-20","MNDNR-SCO"
"1964-04-28","MNDNR-SCO"
"1964-04-28","MNDNR-LAKESDB"
"1965-05-07","MNDNR-LAKESDB"
"1965-05-07","MNDNR-SCO"
"1966-04-30","MNDNR-SCO"
"1966-04-30","MNDNR-LAKESDB"
"1967-04-25","MNDNR-SCO"
"1967-04-25","MNDNR-LAKESDB"
"1968-04-13","MNDNR-LAKESDB"
"1968-04-13","MNDNR-SCO"
"1969-04-22","MNDNR-LAKESDB"
"1969-04-22","MNDNR-SCO"
"1970-04-30","MNDNR-SCO"
"1970-04-30","MNDNR-LAKESDB"
"1971-05-01","MNDNR-SCO"
"1971-05-01","MNDNR-LAKESDB"
"1972-05-02","MNDNR-SCO"
"1973-04-10","MNDNR-SCO"
"1974-04-27","MNDNR-SCO"
"1975-05-05","MNDNR-SCO"
"1975-05-08","MNDNR-LAKESDB"
"1976-04-15","MNDNR-SCO"
"1977-04-19","MNDNR-SCO"
"1978-04-25","MNDNR-SCO"
"1979-05-04","MNDNR-SCO"
"1980-04-27","MNDNR-SCO"
"1980-04-27","MNDNR-LAKESDB"
"1981-04-14","MNDNR-SCO"
"1981-04-14","MNDNR-LAKESDB"
"1982-04-28","MNDNR-SCO"
"1983-04-29","MNDNR-LAKESDB"
"1983-05-01","MNDNR-SCO"
"1984-04-18","MNDNR-SCO"
"1985-04-20","MNDNR-LAKESDB"
"1985-04-20","MNDNR-SCO"
"1986-04-14","MNDNR-SCO"
"1987-04-12","MNDNR-SCO"
"1987-04-12","MNDNR-LAKESDB"
"1988-04-24","MNDNR-LAKESDB"
"1988-04-26","MNDNR-SCO"
"1989-04-29","MNDNR-SCO"
"1989-04-29","MNDNR-LAKESDB"
"1990-04-21","MNDNR-LAKESDB"
"1990-04-23","MNDNR-SCO"
"1991-04-24","MNDNR-LAKESDB"
"1991-04-25","MNDNR-SCO"
"1992-04-24","MNDNR-SCO"
"1992-04-24","MNDNR-LAKESDB"
"1993-04-24","MNDNR-LAKESDB"
"1993-04-24","MNDNR-SCO"
"1994-04-23","MNDNR-LAKESDB"
"1994-04-23","MNDNR-SCO"
"1995-05-05","MNDNR-LAKESDB"
"1995-05-06","MNDNR-SCO"
"1996-05-06","MNDNR-SCO"
"1996-05-06","MNDNR-LAKESDB"
"1997-04-28","MNDNR-LAKESDB"
"1997-04-28","MNDNR-SCO"
"1998-04-11","MNDNR-SCO"
"1998-04-12","MNDNR-LAKESDB"
"1999-04-15","MNDNR-SCO"
"1999-04-16","MNDNR-LAKESDB"
"2000-04-02","MNDNR-SCO"
"2001-04-29","MNDNR-SCO"
"2002-04-23","MNDNR-SCO"
"2002-04-26","MNPCA"
"2003-04-22","MNDNR-SCO"
"2004-04-19","MNDNR-SCO"
"2005-04-20","MNDNR-SCO"
"2006-04-13","MNDNR-SCO"
"2007-04-28","MNDNR-SCO"
"2008-05-04","MNDNR-SCO"
"2009-04-24","MNDNR-SCO"
"2010-04-05","MNDNR-SCO"
"2010-04-05","MNDNR-SCO"
"2011-05-01","MNDNR-SCO"
"2012-03-26","MNDNR-SCO"
"2013-05-16","MNDNR-SCO"
"2014-05-07","MNDNR-SCO"
"2015-04-13","MNDNR-SCO"
"2016-04-05","MNDNR-SCO"
"2017-04-10","MNDNR-SCO"
"2018-05-11","MNDNR-SCO"
"2019-04-28","MNDNR-SCO"
"2020-04-26","MNDNR-SCO"
"2021-04-07","MNDNR-SCO"
"2022-05-02","MNDNR-SCO"
