"Name: Zumbro"
"ID: 55000400"
"Ice Out Date","Source"
"1997-03-21","MNPCA"
"1998-03-22","MNPCA"
"1999-03-28","MNPCA"
"1999-03-30","MNDNR-LAKESDB"
"1999-03-30","MNDNR-SCO"
"2000-03-06","MNPCA"
"2001-04-07","MNPCA"
"2002-04-05","MNPCA"
"2003-04-02","MNPCA"
"2004-03-27","MNPCA"
"2005-03-31","MNPCA"
"2007-03-24","MNPCA"
"2007-03-26","MNDNR-SCO"
"2008-03-29","MNPCA"
"2008-04-05","MNPCA"
"2008-04-05","MNPCA"
"2008-04-10","MNDNR-SCO"
"2009-03-31","MNDNR-SCO"
"2010-03-29","MNDNR-SCO"
"2012-03-16","MNPCA"
"2013-04-21","MNPCA"
"2014-04-09","MNPCA"
"2015-04-01","MNPCA"
"2016-03-11","MNPCA"
"2017-02-22","MNPCA"
"2018-04-21","MNPCA"
"2018-04-25","MNDNR-SCO"
"2019-03-27","MNPCA"
"2019-04-04","MNDNR-SCO"
"2020-03-14","MNPCA"
"2020-03-29","MNDNR-SCO"
"2022-04-07","MNPCA"
