"Name: West Battle"
"ID: 56023900"
"Ice Out Date","Source"
"1980-04-22","MNDNR-SCO"
"1988-04-14","MNDNR-LAKESDB"
"1988-04-14","MNDNR-SCO"
"1989-04-25","MNDNR-SCO"
"1989-04-25","MNDNR-LAKESDB"
"1990-04-21","MNDNR-SCO"
"1990-04-21","MNDNR-LAKESDB"
"1991-04-12","MNDNR-LAKESDB"
"1991-04-12","MNDNR-SCO"
"1992-04-09","MNDNR-SCO"
"1992-04-09","MNDNR-LAKESDB"
"1993-04-21","MNDNR-LAKESDB"
"1993-04-21","MNDNR-SCO"
"1994-04-18","MNDNR-SCO"
"1994-04-18","MNDNR-LAKESDB"
"1995-04-24","MNDNR-SCO"
"1995-04-24","MNDNR-LAKESDB"
"1996-05-05","MNDNR-SCO"
"1996-05-05","MNDNR-LAKESDB"
"1998-04-10","MNDNR-SCO"
"1998-04-10","MNDNR-LAKESDB"
"1999-04-09","MNDNR-LAKESDB"
"1999-04-09","MNDNR-SCO"
"2000-03-31","MNDNR-SCO"
"2002-04-17","MNPCA"
"2002-04-17","MNDNR-SCO"
"2003-04-14","MNPCA"
"2003-04-15","MNDNR-SCO"
"2004-04-13","MNDNR-SCO"
"2004-04-14","MNPCA"
"2005-04-15","MNDNR-SCO"
"2006-04-11","MNDNR-SCO"
"2007-04-21","MNDNR-SCO"
"2008-05-03","MNDNR-SCO"
"2009-04-23","MNDNR-SCO"
"2010-04-02","MNDNR-SCO"
"2011-04-26","MNDNR-SCO"
"2012-03-21","MNDNR-SCO"
"2013-05-13","MNDNR-SCO"
"2014-04-27","MNDNR-SCO"
"2015-04-12","MNDNR-SCO"
"2016-03-28","MNDNR-SCO"
"2017-04-02","MNDNR-SCO"
"2019-04-26","MNDNR-SCO"
"2020-04-21","MNDNR-SCO"
"2021-04-01","MNDNR-SCO"
"2022-05-05","MNDNR-SCO"
