"Name: Marion"
"ID: 56024300"
"Ice Out Date","Source"
"1986-04-14","MNPCA"
"1987-04-07","MNPCA"
"1988-04-12","MNPCA"
"1989-04-24","MNPCA"
"1990-04-21","MNPCA"
"1991-04-10","MNPCA"
"1993-04-11","MNPCA"
"1994-04-16","MNPCA"
"1995-04-21","MNPCA"
"1996-05-03","MNPCA"
"1997-04-26","MNPCA"
"1999-04-09","MNPCA"
"2000-04-03","MNPCA"
"2002-05-06","MNPCA"
"2003-04-13","MNPCA"
"2004-04-15","MNPCA"
"2006-04-13","MNPCA"
"2007-04-21","MNPCA"
"2008-05-04","MNPCA"
"2016-03-31","MNDNR-SCO"
"2017-04-04","MNPCA"
"2018-05-01","MNPCA"
"2019-04-24","MNPCA"
"2020-04-22","MNPCA"
"2022-05-07","MNPCA"
