"Name: Little McDonald"
"ID: 56032800"
"Ice Out Date","Source"
"1977-04-19","MNPCA"
"1978-04-20","MNPCA"
"1979-05-10","MNPCA"
"1980-04-22","MNPCA"
"1981-04-10","MNPCA"
"1982-04-28","MNPCA"
"1983-04-25","MNPCA"
"1984-04-16","MNPCA"
"1985-04-23","MNPCA"
"1986-04-23","MNPCA"
"1987-04-15","MNPCA"
"1988-04-19","MNPCA"
"1989-04-27","MNPCA"
"1990-04-23","MNPCA"
"1991-04-24","MNPCA"
"1992-04-18","MNPCA"
"1993-04-23","MNPCA"
"1994-04-18","MNPCA"
"1995-04-28","MNPCA"
"1996-05-11","MNPCA"
"1997-04-28","MNPCA"
"1998-04-10","MNPCA"
"1999-04-17","MNPCA"
"2000-04-05","MNPCA"
"2001-04-28","MNPCA"
"2002-04-16","MNPCA"
"2002-04-16","MNPCA"
"2003-04-16","MNPCA"
"2003-04-17","MNPCA"
"2004-04-18","MNPCA"
"2004-04-19","MNPCA"
"2005-04-16","MNPCA"
"2008-05-06","MNPCA"
"2008-05-06","MNPCA"
"2014-04-29","MNDNR-SCO"
"2014-04-30","MNDNR-LLMMP"
"2015-04-15","MNPCA"
"2015-04-15","MNDNR-SCO"
"2015-04-16","MNDNR-LLMMP"
"2016-04-06","MNDNR-SCO"
"2016-04-16","MNDNR-LLMMP"
"2017-04-07","MNPCA"
"2017-04-08","MNDNR-LLMMP"
"2018-05-04","MNPCA"
"2018-05-04","MNDNR-SCO"
"2018-05-05","MNDNR-LLMMP"
"2019-04-27","MNDNR-LLMMP"
"2019-05-01","MNDNR-SCO"
"2020-04-27","MNDNR-SCO"
"2020-04-27","MNDNR-LLMMP"
"2021-04-07","MNDNR-SCO"
"2021-04-07","MNDNR-LLMMP"
"2022-05-09","MNDNR-LLMMP"
