"Name: Paul"
"ID: 56033500"
"Ice Out Date","Source"
"1979-05-09","MNPCA"
"1980-04-21","MNPCA"
"1981-04-10","MNPCA"
"1982-04-25","MNPCA"
"1983-04-21","MNPCA"
"1984-04-14","MNPCA"
"1985-04-21","MNPCA"
"1986-04-14","MNPCA"
"1987-04-11","MNPCA"
"1988-04-16","MNPCA"
"1989-04-25","MNPCA"
"1990-04-22","MNPCA"
"1991-04-17","MNPCA"
"1992-04-18","MNPCA"
"1993-04-19","MNPCA"
"1994-04-18","MNPCA"
"1995-04-26","MNPCA"
"1996-05-06","MNPCA"
"1997-04-28","MNPCA"
"1998-04-07","MNPCA"
"1999-04-15","MNPCA"
"2000-04-03","MNPCA"
"2001-04-29","MNPCA"
"2002-04-16","MNPCA"
"2003-04-15","MNPCA"
"2004-04-16","MNPCA"
"2005-04-14","MNPCA"
"2007-04-22","MNDNR-LAKESDB"
"2007-04-22","MNPCA"
"2008-05-05","MNPCA"
"2015-04-13","MNPCA"
"2015-04-14","MNDNR-SCO"
"2016-03-31","MNDNR-SCO"
"2017-04-03","MNDNR-SCO"
"2017-04-04","MNDNR-LLMMP"
"2018-05-02","MNDNR-SCO"
"2018-05-03","MNDNR-LLMMP"
"2019-04-25","MNDNR-SCO"
"2019-04-26","MNDNR-LLMMP"
"2020-04-26","MNDNR-SCO"
"2021-04-02","MNDNR-SCO"
"2021-04-03","MNDNR-LLMMP"
